Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-2-1-0-1,0,1,1,0.5,5.084876419,118.8214127,536.1692605,105.4439118,531.084384,11.05908266,254.9762933,0.899239585,3.073133248,7.619571573,8.473349812,6.720331987,2.88963339,3.467159816,0,0.630393245,0.369606755,0,0,0,0,0,0.007461049,0.107606375,0.166480151,0.20544615,0.14339952,0.09617063,0.074138704,0.062918551,0.055966317,0.03825427,0.042158283
UNB-2-1-1-2,1,2,1,1.5,1.130807088,8.98569988,166.0969777,146.8835661,164.9661706,15.62750309,41.208555,2.589902273,6.798153408,9.788431454,3.779459772,7.198529181,1.880259207,3.966015383,0,0.213698063,0.786301937,0,0,0,0,0,0,0.006996756,0.028602478,0.106004601,0.072094228,0.071426984,0.11289896,0.131665721,0.153383074,0.133802562,0.183124636
UNB-2-1-2-3,2,3,1,2.5,1.112369246,9.23461761,67.53300823,60.71096307,66.42063898,9.086964355,23.82044092,3.888263367,6.758732062,9.812148521,2.523529812,5.923885154,1.609519536,3.18379842,0,0.108472866,0.891527134,0,0,0,0,0,0,0,0.001927299,0.037612317,0.06893325,0.111124109,0.159961883,0.159111487,0.15549731,0.12652883,0.179303515
UNB-2-1-3-4,3,4,1,3.5,1.875210122,15.0458085,54.53267087,29.08083219,52.65746075,5.627700138,25.07937233,4.196735373,6.054494556,9.058732023,2.158518757,4.86199665,1.495033474,2.492545459,0,0.077810845,0.922189155,0,0,0,0,0,0,0.003003464,0.000710832,0.008164668,0.06593188,0.164846026,0.245346804,0.187512048,0.130014587,0.090179816,0.104289875
UNB-2-1-4-5,4,5,1,4.5,1.319312902,10.56693888,54.00130625,40.93138647,52.68199335,7.628197287,23.21067733,4.210861884,6.564298685,9.565997515,2.271743358,5.355135631,1.56087837,2.931342156,0,0.079005632,0.920994368,0,0,0,0,0,0,0,0.002766641,0.019100283,0.057138708,0.131987806,0.189732527,0.173627819,0.154273156,0.119424703,0.151948358
UNB-2-1-5-6,5,6,1,5.5,1.084855623,7.305718848,52.24582892,48.15924607,51.16097329,8.183975216,18.74952815,4.258540327,7.09675805,9.848281228,2.312595508,5.589740902,1.546550972,3.032801776,0,0.07945806,0.92054194,0,0,0,0,0,0,0,0.005065272,0.024739314,0.049653474,0.096619091,0.143655411,0.162985934,0.177031585,0.146668962,0.193580956
UNB-2-1-6-7,6,7,1,6.5,1.165252434,8.553271527,57.15043762,49.04554238,55.98518518,8.627479561,22.2263813,4.129091644,6.869307945,9.745141759,2.360117575,5.616050114,1.58506336,3.108939151,0,0.087478128,0.912521872,0,0,0,0,0,0,0,0.003835939,0.02194294,0.061699249,0.118537828,0.154359754,0.161813035,0.165786098,0.135529841,0.176495316
UNB-2-1-7-8,7,8,1,7.5,1.403972988,11.40259093,55.43538409,39.48465145,54.0314111,7.516532605,25.28490162,4.173049055,6.454494515,9.476269105,2.270826194,5.30322005,1.570644257,2.910067297,0,0.080726443,0.919273557,0,0,0,0,0,0,0.000805756,0.00273461,0.020349986,0.056836091,0.150808776,0.191832827,0.169984959,0.155320044,0.111786689,0.139540262
UNB-2-1-8-9,8,9,1,8.5,1.515058364,11.57843268,52.75161707,34.81820788,51.23655871,6.837754953,23.98492261,4.24464087,6.432416214,9.366410913,2.206643907,5.121770043,1.538169884,2.773522721,0,0.073090498,0.926909502,0,0,0,0,0,0,0,0.000647507,0.015328315,0.057114675,0.148262745,0.199766023,0.180749993,0.158160733,0.11032383,0.129646178
UNB-2-1-9-10,9,10,1,9.5,2.923525891,28.75063918,95.44966757,32.64881897,92.52614168,5.62532757,46.40870428,3.389116017,5.12026216,8.418074917,2.483855635,5.0289589,1.600889683,2.491937109,0,0.214440036,0.785559964,0,0,0,0,0,0,0,0.000807281,0.049468714,0.164164041,0.257393931,0.196868166,0.119533107,0.08481763,0.057215233,0.069731896
UNB-2-1-10-11,10,11,1,10.5,4.418346877,41.76526973,112.0675377,25.36413297,107.6491908,4.056305637,54.48772641,3.157559658,4.581552435,7.822277598,2.477317437,4.66471794,1.533089092,2.020166361,0,0.313833642,0.686166358,0,0,0,0,0,0,0,0.000151476,0.072122543,0.241559624,0.296293707,0.16191938,0.081407318,0.054980553,0.038784648,0.052780752
UNB-2-1-11-12,11,12,1,11.5,4.110030677,41.88909821,112.9961357,27.49277186,108.8861051,4.270657022,55.88662572,3.145654659,4.577281364,7.926635123,2.519868193,4.780980464,1.554606539,2.094458039,0,0.317369441,0.682630559,0,0,0,0,0,0,0,0.000286813,0.073920701,0.243161927,0.291153965,0.155433092,0.081176516,0.058547189,0.041183015,0.055136782
