Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_22,Upper Newport Bay,UNB-3,UNB-3-00-05,22,black,,Fiber,0.35,0.233,1.099,1.099,1044.05,1099,1153.95,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,194000,241000,359000,0.000249881,0.000314313,0.00047337,,,
NA,fiber,,fiber,UNB-1-00-05-250um_B_38,Upper Newport Bay,UNB-1,UNB-1-00-05,38,clear,,Fiber,0.748,0.305,1.1,1.1,1045,1100,1155,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,194000,241000,360000,0.000249881,0.000314313,0.000474688,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_33,Upper Newport Bay,UNB-3,UNB-3-00-05,33,gray,,Fiber,0.827,0.173,1.103,1.103,1047.85,1103,1158.15,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,195000,242000,361000,0.000251169,0.000315618,0.000476007,,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_59,Upper Newport Bay,UNB-3,UNB-3-00-05,59,black,,Fiber,0.478,0.242,1.109,1.109,1053.55,1109,1164.45,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,196000,243000,362000,0.000252457,0.000316922,0.000477325,,,
NA,fiber,,fiber,UNB-1-00-05-250um_A_13,Upper Newport Bay,UNB-1,UNB-1-00-05,13,black,,Fiber,1.019,0.136,1.116,1.116,1060.2,1116,1171.8,15,16.7,20.4,15,16.7,20.4,Unknown,,1.28804E-09,1.3042E-09,1.31858E-09,197000,244000,365000,0.000253745,0.000318226,0.000481281,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_36,Upper Newport Bay,UNB-3,UNB-3-00-05,36,black,,Fiber,1.023,0.139,1.116,1.116,1060.2,1116,1171.8,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,197000,244000,365000,0.000253745,0.000318226,0.000481281,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_27,Upper Newport Bay,UNB-3,UNB-3-00-05,27,blue,,Fiber,1.078,0.102,1.12,1.12,1064,1120,1176,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,198000,245000,366000,0.000255033,0.00031953,0.0004826,,,
NA,fiber,,fiber,UNB-2-00-05-500um_B_54,Upper Newport Bay,UNB-2,UNB-2-00-05,54,black,,Fiber,0.566,0.233,1.121,1.121,1064.95,1121,1177.05,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,198000,246000,366000,0.000255033,0.000320834,0.0004826,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_29,Upper Newport Bay,UNB-2,UNB-2-00-05,29,blue,,Fiber,0.846,0.286,1.131,1.131,1074.45,1131,1187.55,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,200000,248000,370000,0.000257609,0.000323443,0.000487874,,,
NA,fiber,,fiber,UNB-2-00-05-500um_C_8,Upper Newport Bay,UNB-2,UNB-2-00-05,8,blue,,Fiber,0.503,0.41,1.143,1.143,1085.85,1143,1200.15,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,202000,250000,374000,0.000260185,0.000326051,0.000493148,,,
NA,fiber,,fiber,UNB-3-00-05-500um_B_42,Upper Newport Bay,UNB-3,UNB-3-00-05,42,black,,Fiber,0.637,0.258,1.146,1.146,1088.7,1146,1203.3,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,203000,251000,375000,0.000261473,0.000327355,0.000494467,,,
NA,fiber,,fiber,UNB-3-00-05-250um_B_53,Upper Newport Bay,UNB-3,UNB-3-00-05,53,red,,Fiber,0.393,0.246,1.154,1.154,1096.3,1154,1211.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,204000,253000,377000,0.000262761,0.000329964,0.000497104,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_31,Upper Newport Bay,UNB-3,UNB-3-00-05,31,gray,,Fiber,0.746,0.307,1.159,1.159,1101.05,1159,1216.95,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,205000,254000,379000,0.000264049,0.000331268,0.000499741,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_62,Upper Newport Bay,UNB-3,UNB-3-00-05,62,gray,,Fiber,0.772,0.419,1.163,1.163,1104.85,1163,1221.15,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,206000,255000,380000,0.000265337,0.000332572,0.00050106,,,
NA,fiber,,fiber,UNB-2-00-05-250um_C_24,Upper Newport Bay,UNB-2,UNB-2-00-05,24,black,,Fiber,0.62,0.389,1.171,1.171,1112.45,1171,1229.55,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,207000,256000,383000,0.000266625,0.000333876,0.000505016,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_36,Upper Newport Bay,UNB-2,UNB-2-00-05,36,blue,,Fiber,0.789,0.263,1.172,1.172,1113.4,1172,1230.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,207000,257000,383000,0.000266625,0.000335181,0.000505016,,,
NA,fiber,,fiber,UNB-2-00-05-250um_C_19,Upper Newport Bay,UNB-2,UNB-2-00-05,19,black,,Fiber,0.975,0.287,1.173,1.173,1114.35,1173,1231.65,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,207000,257000,383000,0.000266625,0.000335181,0.000505016,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_60,Upper Newport Bay,UNB-3,UNB-3-00-05,60,black,,Fiber,0.468,0.238,1.178,1.178,1119.1,1178,1236.9,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,208000,258000,385000,0.000267913,0.000336485,0.000507653,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_15,Upper Newport Bay,UNB-3,UNB-3-00-05,15,gray,,Fiber,0.832,0.306,1.189,1.189,1129.55,1189,1248.45,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,210000,260000,389000,0.000270489,0.000339093,0.000512927,,,
NA,fiber,,fiber,UNB-3-00-05-500um_C_13,Upper Newport Bay,UNB-3,UNB-3-00-05,13,gray,,Fiber,0.681,0.389,1.189,1.189,1129.55,1189,1248.45,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,210000,260000,389000,0.000270489,0.000339093,0.000512927,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_44,Upper Newport Bay,UNB-3,UNB-3-00-05,44,gray,,Fiber,0.515,0.294,1.19,1.19,1130.5,1190,1249.5,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,210000,261000,389000,0.000270489,0.000340397,0.000512927,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_7,Upper Newport Bay,UNB-2,UNB-2-00-05,7,blue,,Fiber,0.96,0.279,1.204,1.204,1143.8,1204,1264.2,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,213000,264000,394000,0.000274353,0.00034431,0.00051952,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_55,Upper Newport Bay,UNB-3,UNB-3-00-05,55,black,,Fiber,0.618,0.312,1.206,1.206,1145.7,1206,1266.3,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,213000,264000,394000,0.000274353,0.00034431,0.00051952,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_72,Upper Newport Bay,UNB-2,UNB-2-00-05,72,clear,,Fiber,0.778,0.328,1.208,1.208,1147.6,1208,1268.4,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,213000,265000,395000,0.000274353,0.000345614,0.000520839,,,
NA,fiber,,fiber,UNB-2-00-05-250um_B_46,Upper Newport Bay,UNB-2,UNB-2-00-05,46,clear,,Fiber,0.659,0.429,1.208,1.208,1147.6,1208,1268.4,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,213000,265000,395000,0.000274353,0.000345614,0.000520839,,,
NA,fiber,,fiber,UNB-1-00-05-250um_B_10,Upper Newport Bay,UNB-1,UNB-1-00-05,10,black,,Fiber,0.827,0.284,1.212,1.212,1151.4,1212,1272.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,214000,265000,396000,0.000275642,0.000345614,0.000522157,,,
NA,fiber,,fiber,UNB-2-00-05-250um_C_31,Upper Newport Bay,UNB-2,UNB-2-00-05,31,green,,Fiber,0.757,0.379,1.213,1.213,1152.35,1213,1273.65,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,214000,266000,396000,0.000275642,0.000346918,0.000522157,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_16,Upper Newport Bay,UNB-3,UNB-3-00-05,16,gray,,Fiber,0.815,0.197,1.214,1.214,1153.3,1214,1274.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,215000,266000,397000,0.00027693,0.000346918,0.000523476,,,
NA,fiber,,fiber,UNB-2-00-05-500um_D_68,Upper Newport Bay,UNB-2,UNB-2-00-05,68,black,,Fiber,0.609,0.36,1.215,1.215,1154.25,1215,1275.75,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,215000,266000,397000,0.00027693,0.000346918,0.000523476,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_53,Upper Newport Bay,UNB-3,UNB-3-00-05,53,gray,,Fiber,0.547,0.212,1.218,1.218,1157.1,1218,1278.9,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,215000,267000,398000,0.00027693,0.000348223,0.000524794,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_8,Upper Newport Bay,UNB-3,UNB-3-00-05,8,red,,Fiber,0.925,0.286,1.224,1.224,1162.8,1224,1285.2,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,216000,268000,400000,0.000278218,0.000349527,0.000527431,,,
NA,fiber,,fiber,UNB-3-00-05-250um_C_33,Upper Newport Bay,UNB-3,UNB-3-00-05,33,gray,,Fiber,1.063,0.204,1.225,1.225,1163.75,1225,1286.25,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,216000,268000,400000,0.000278218,0.000349527,0.000527431,,,
NA,fiber,,fiber,UNB-3-00-05-500um_B_20,Upper Newport Bay,UNB-3,UNB-3-00-05,20,black,,Fiber,1.152,0.159,1.225,1.225,1163.75,1225,1286.25,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,216000,268000,400000,0.000278218,0.000349527,0.000527431,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_54,Upper Newport Bay,UNB-3,UNB-3-00-05,54,gray,,Fiber,0.689,0.345,1.227,1.227,1165.65,1227,1288.35,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,217000,269000,401000,0.000279506,0.000350831,0.00052875,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_49,Upper Newport Bay,UNB-3,UNB-3-00-05,49,blue,,Fiber,0.595,0.38,1.234,1.234,1172.3,1234,1295.7,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,218000,270000,403000,0.000280794,0.000352135,0.000531387,,,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-2-00-05-500um_A_71,Upper Newport Bay,UNB-2,UNB-2-00-05,71,black,,Fiber,1.078,0.236,1.236,1.236,1174.2,1236,1297.8,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,218000,271000,404000,0.000315,0.000393,0.00059,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_12,Upper Newport Bay,UNB-3,UNB-3-00-05,12,gray,,Fiber,1.065,0.238,1.236,1.236,1174.2,1236,1297.8,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,218000,271000,404000,0.000280794,0.000353439,0.000532706,,,
NA,fiber,,fiber,UNB-3-00-05-250um_D_3,Upper Newport Bay,UNB-3,UNB-3-00-05,3,blue,,Fiber,0.834,0.156,1.239,1.239,1177.05,1239,1300.95,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,219000,271000,405000,0.000282082,0.000353439,0.000534024,,,
NA,fiber,,fiber,UNB-2-00-05-250um_B_50,Upper Newport Bay,UNB-2,UNB-2-00-05,50,clear,,Fiber,0.991,0.263,1.244,1.244,1181.8,1244,1306.2,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,220000,272000,407000,0.00028337,0.000354744,0.000536662,,,
NA,fiber,,fiber,UNB-2-00-05-500um_B_37,Upper Newport Bay,UNB-2,UNB-2-00-05,37,green,,Fiber,1.13,0.219,1.246,1.246,1183.7,1246,1308.3,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,220000,273000,407000,0.00028337,0.000356048,0.000536662,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_9,Upper Newport Bay,UNB-3,UNB-3-00-05,9,black,,Fiber,0.938,0.352,1.248,1.248,1185.6,1248,1310.4,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,221000,273000,408000,0.000284658,0.000356048,0.00053798,,,
NA,fiber,,fiber,UNB-3-00-05-500um_C_31,Upper Newport Bay,UNB-3,UNB-3-00-05,31,gray,,Fiber,1.025,0.289,1.252,1.252,1189.4,1252,1314.6,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,221000,274000,409000,0.000284658,0.000357352,0.000539299,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_37,Upper Newport Bay,UNB-3,UNB-3-00-05,37,blue,,Fiber,1.04,0.253,1.259,1.259,1196.05,1259,1321.95,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,222000,276000,412000,0.000285946,0.000359961,0.000543254,,,
NA,fiber,,fiber,UNB-3-00-05-250um_A_58,Upper Newport Bay,UNB-3,UNB-3-00-05,58,gray,,Fiber,0.345,0.259,1.262,1.262,1198.9,1262,1325.1,15,16.7,20.4,15,16.7,20.4,,,1.28804E-09,1.3042E-09,1.31858E-09,223000,276000,412000,0.000287234,0.000359961,0.000543254,,,
