Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),,,
NA,fiber,,fiber,SUB-4-9-500um_S1_A_18,Lower Harbor,SUB-4-9,SUB-4-9-S1,18,translucent,,Fiber,2.739,0.236,2.89,2.89,2745.5,2890,3034.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,511000,633000,945000,0.000638,0.000798,0.00121,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_B_58,Lower Harbor,SUB-4-1,SUB-4-1-S1,58,translucent,,Fiber,2.733,1.243,4.038,4.038,3836.1,4038,4239.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,714000,884000,1320000,0.000892,0.00111,0.00169,,,
NA,fiber,,fiber,SUB-4-11-500um_S1_A_16,Lower Harbor,SUB-4-11,SUB-4-11-S1,16,blue,,Fiber,2.719,0.207,2.919,2.919,2773.05,2919,3064.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,516000,639000,954000,0.000645,0.000806,0.00122,,,
NA,fiber,,fiber,SUB-4-7-250um_S1_A_30,Lower Harbor,SUB-4-7,SUB-4-7-S1,30,black,,Fiber,2.705,0.398,3.011,3.011,2860.45,3011,3161.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,532000,660000,984000,0.000665,0.000831,0.00126,,,
NA,fiber,,fiber,SUB-4-9-250um_S1_B_50,Lower Harbor,SUB-4-9,SUB-4-9-S1,50,translucent,,Fiber,2.685,0.568,3.608,3.608,3427.6,3608,3788.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,638000,790000,1180000,0.000797,0.000996,0.00151,,,
NA,fiber,,fiber,SUB-4-9-500um_S2_A_25,Lower Harbor,SUB-4-9,SUB-4-9-S2,25,translucent,,Fiber,2.683,0.251,2.938,2.938,2791.1,2938,3084.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,519000,644000,960000,0.000649,0.000811,0.00123,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_B_70,Lower Harbor,SUB-4-11,SUB-4-11-S1,70,blue,,Fiber,2.681,0.782,3.577,3.577,3398.15,3577,3755.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,632000,784000,1170000,0.00079,0.000987,0.0015,,,
NA,fiber,,fiber,SUB-4-2-500um_S1_A_39,Lower Harbor,SUB-4-2,SUB-4-2-S1,39,translucent,,Fiber,2.679,0.361,3.088,3.088,2933.6,3088,3242.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,546000,676000,1010000,0.000682,0.000852,0.00129,,,
NA,fiber,,fiber,SUB-4-10-250um_S2_A_43,Lower Harbor,SUB-4-10,SUB-4-10-S2,43,translucent,,Fiber,2.673,0.409,3.038,3.038,2886.1,3038,3189.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,537000,665000,993000,0.000671,0.000838,0.00127,,,
NA,fiber,,fiber,SUB-4-5-PB_S1_A_3,Lower Harbor,SUB-4-5,SUB-4-5-S1,3,translucent,,Fiber,2.671,0.846,3.685,3.685,3500.75,3685,3869.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,651000,807000,1200000,0.000814,0.00102,0.00154,,,
NA,fiber,,fiber,SUB-4-4-250um_S1_C_10,Lower Harbor,SUB-4-4,SUB-4-4-S1,10,black,,Fiber,2.67,0.253,2.857,2.857,2714.15,2857,2999.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,505000,626000,934000,0.000631,0.000789,0.0012,,,
NA,fiber,,fiber,SUB-4-10-1000um_S2_A_6,Lower Harbor,SUB-4-10,SUB-4-10-S2,6,blue,,Fiber,2.666,1.248,5.405,5.405,5134.75,5405,5675.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,955000,1180000,1770000,0.00119,0.00149,0.00226,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_A_48,Lower Harbor,SUB-4-2,SUB-4-2-S1,48,translucent,,Fiber,2.642,0.449,4.17,4.17,3961.5,4170,4378.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,737000,913000,1360000,0.000921,0.00115,0.00174,,,
NA,fiber,,fiber,SUB-4-1-250um_S1_H_11,Lower Harbor,SUB-4-1,SUB-4-1-S1,11,black,,Fiber,2.64,0.451,3.081,3.081,2926.95,3081,3235.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,544000,675000,1010000,0.000681,0.00085,0.00129,,,
NA,fiber,,fiber,SUB-4-10-250um_S2_A_68,Lower Harbor,SUB-4-10,SUB-4-10-S2,68,translucent,,Fiber,2.633,0.295,3.058,3.058,2905.1,3058,3210.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,540000,670000,1000000,0.000675,0.000844,0.00128,,,
NA,fiber,,fiber,SUB-4-1-1000um_S1_A_9,Lower Harbor,SUB-4-1,SUB-4-1-S1,9,gray,,Fiber,2.623,0.52,4.203,4.203,3992.85,4203,4413.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,743000,921000,1370000,0.000928,0.00116,0.00176,,,
NA,fragment,,fragment,SUB-1-2-01-250-500um_S1_C_11,Basin I/III,SUB-1-2,SUB-1-2-S1,11,gray,,Non-Fiber,0.829,0.471,0,0.829,787.55,829,870.45,447.45,471,494.55,8.29,418.645,494.55,,,1.03E-09,1.08E-09,1.33E-09,2921306.86,163463708,212894402,0.00301,0.177,0.283,,,
NA,fiber,,fiber,SUB-4-7-250um_S1_A_94,Lower Harbor,SUB-4-7,SUB-4-7-S1,94,blue,,Fiber,2.61,0.28,3.307,3.307,3141.65,3307,3472.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,584000,724000,1080000,0.00073,0.000913,0.00138,,,
NA,fiber,,fiber,SUB-4-2-PB_S1_A_4,Lower Harbor,SUB-4-2,SUB-4-2-S1,4,translucent,,Fiber,2.602,0.288,2.892,2.892,2747.4,2892,3036.6,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,511000,633000,945000,0.000639,0.000798,0.00121,,,
NA,fiber,,fiber,SUB-4-2-500um_S1_A_13,Lower Harbor,SUB-4-2,SUB-4-2-S1,13,green,,Fiber,2.602,0.605,3.041,3.041,2888.95,3041,3193.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,537000,666000,994000,0.000672,0.000839,0.00127,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_C_12,Lower Harbor,SUB-4-2,SUB-4-2-S1,12,blue,,Fiber,2.597,0.423,2.85,2.85,2707.5,2850,2992.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,504000,624000,932000,0.00063,0.000787,0.00119,,,
tire wear,rubbery fragment,tire wear,TRWP,SUB-1-2-01-250-500um_S1_A_57,Basin I/III,SUB-1-2,SUB-1-2-S1,57,black,,Non-Fiber,0.765,0.553,0,0.765,726.75,765,803.25,525.35,553,580.65,7.65,386.325,580.65,,,1.2E-09,1.45E-09,1.7E-09,2920755.56,163432860,270819290,0.0035,0.237,0.46,,,
NA,fiber bundle,,fiber bundle,SUB-4-4-500um_S1_A_14,Lower Harbor,SUB-4-4,SUB-4-4-S1,14,white,,Fiber,2.586,1.785,0,2.586,2456.7,2586,2715.3,,NA,,,,,,,1.44E-09,1.45E-09,1.46E-09,1642892.58,480329908,1815828636,0.00249,0.00311,0.00471,,,
NA,fiber,,fiber,SUB-4-10-500um_S2_B_7,Lower Harbor,SUB-4-10,SUB-4-10-S2,7,translucent,,Fiber,2.58,0.475,7.423,7.423,7051.85,7423,7794.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1310000,1630000,2430000,0.00164,0.00205,0.00311,,,
NA,fiber,,fiber,SUB-4-7-250um_S1_B_4,Lower Harbor,SUB-4-7,SUB-4-7-S1,4,translucent,,Fiber,2.573,1.021,6.406,6.406,6085.7,6406,6726.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1130000,1400000,2090000,0.00142,0.00177,0.00268,,,
NA,fiber,,fiber,SUB-4-5-250um_S1_A_21,Lower Harbor,SUB-4-5,SUB-4-5-S1,21,blue,,Fiber,2.569,0.403,2.97,2.97,2821.5,2970,3118.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,525000,651000,971000,0.000656,0.00082,0.00124,,,
NA,fiber,,fiber,SUB-4-4-250um_S1_C_29,Lower Harbor,SUB-4-4,SUB-4-4-S1,29,black,,Fiber,2.556,0.547,3.083,3.083,2928.85,3083,3237.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,545000,675000,1010000,0.000681,0.000851,0.00129,,,
NA,fiber,,fiber,SUB-4-9-1000um_S1_A_9,Lower Harbor,SUB-4-9,SUB-4-9-S1,9,translucent,,Fiber,2.552,1.15,5.288,5.288,5023.6,5288,5552.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,934000,1160000,1730000,0.00117,0.00146,0.00221,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_C_4,Lower Harbor,SUB-4-2,SUB-4-2-S1,4,blue,,Fiber,2.543,0.516,2.995,2.995,2845.25,2995,3144.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,529000,656000,979000,0.000662,0.000827,0.00125,,,
NA,fiber,,fiber,SUB-4-7-250um_S2_A_69,Lower Harbor,SUB-4-7,SUB-4-7-S2,69,blue,,Fiber,2.529,0.745,3.463,3.463,3289.85,3463,3636.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,612000,759000,1130000,0.000765,0.000956,0.00145,,,
NA,fiber,,fiber,SUB-4-4-250um_S1_C_5,Lower Harbor,SUB-4-4,SUB-4-4-S1,5,black,,Fiber,2.527,0.247,2.925,2.925,2778.75,2925,3071.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,517000,641000,956000,0.000646,0.000807,0.00122,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_A_9,Lower Harbor,SUB-4-11,SUB-4-11-S1,9,black,,Fiber,2.525,0.737,3.174,3.174,3015.3,3174,3332.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,561000,695000,1040000,0.000701,0.000876,0.00133,,,
NA,fiber,,fiber,SUB-4-10-500um_S2_A_23,Lower Harbor,SUB-4-10,SUB-4-10-S2,23,blue,,Fiber,2.521,0.26,2.815,2.815,2674.25,2815,2955.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,497000,617000,920000,0.000622,0.000777,0.00118,,,
NA,fiber,,fiber,SUB-4-11-1000um_S1_A_19,Lower Harbor,SUB-4-11,SUB-4-11-S1,19,black,,Fiber,2.518,1.807,6.011,6.011,5710.45,6011,6311.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1060000,1320000,1960000,0.00133,0.00166,0.00251,,,
NA,fiber,,fiber,SUB-4-7-500um_S1_A_26,Lower Harbor,SUB-4-7,SUB-4-7-S1,26,translucent,,Fiber,2.515,0.368,2.874,2.874,2730.3,2874,3017.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,508000,630000,939000,0.000635,0.000793,0.0012,,,
NA,fragment,,fragment,SUB-2-5_G-01-250-500um_S1_A_34,Basin II,SUB-2-5,SUB-2-5-S1,34,gray,,Non-Fiber,0.847,0.451,0,0.847,804.65,847,889.35,428.45,451,473.55,8.47,427.735,473.55,,,1.03E-09,1.08E-09,1.33E-09,2920051.92,163393487,199436384,0.00301,0.176,0.265,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_B_57,Lower Harbor,SUB-4-1,SUB-4-1-S1,57,translucent,,Fiber,2.498,1.34,4.666,4.666,4432.7,4666,4899.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,825000,1020000,1530000,0.00103,0.00129,0.00195,,,
NA,foam,,foam,SUB-3-9-250um_S1_D_58,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,58,white,,Non-Fiber,0.769,0.547,0,0.769,730.55,769,807.45,519.65,547,574.35,7.69,388.345,574.35,,,2.55E-10,2.77E-10,3.37E-10,2919357.06,163354606,266359929,0.000744,0.0452,0.0898,,,
NA,fiber,,fiber,SUB-4-2-PB_S1_A_3,Lower Harbor,SUB-4-2,SUB-4-2-S1,3,translucent,,Fiber,2.493,1.525,7.826,7.826,7434.7,7826,8217.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1380000,1710000,2560000,0.00173,0.00216,0.00327,,,
NA,fiber,,fiber,SUB-4-7-500um_S2_A_17,Lower Harbor,SUB-4-7,SUB-4-7-S2,17,translucent,,Fiber,2.491,1.022,6.237,6.237,5925.15,6237,6548.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1100000,1370000,2040000,0.00138,0.00172,0.00261,,,
NA,fiber,,fiber,SUB-4-5-500um_S1_A_6,Lower Harbor,SUB-4-5,SUB-4-5-S1,6,black,,Fiber,2.48,1.33,4.507,4.507,4281.65,4507,4732.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,796000,987000,1470000,0.000996,0.00124,0.00189,,,
NA,fiber,,fiber,SUB-4-1-250um_S1_B_58,Lower Harbor,SUB-4-1,SUB-4-1-S1,58,translucent,,Fiber,2.479,1.388,8.595,8.595,8165.25,8595,9024.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1520000,1880000,2810000,0.0019,0.00237,0.0036,,,
NA,fiber,,fiber,SUB-4-9-250um_S1_A_25,Lower Harbor,SUB-4-9,SUB-4-9-S1,25,translucent,,Fiber,2.465,0.347,3.278,3.278,3114.1,3278,3441.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,579000,718000,1070000,0.000724,0.000905,0.00137,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_A_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,translucent,,Fiber,2.464,0.806,4.599,4.599,4369.05,4599,4828.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,813000,1010000,1500000,0.00102,0.00127,0.00192,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_A_26,Lower Harbor,SUB-4-1,SUB-4-1-S1,26,black,,Fiber,2.461,0.876,4.549,4.549,4321.55,4549,4776.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,804000,996000,1490000,0.001,0.00126,0.0019,,,
NA,fragment,,fragment,SUB-4-5-250um_S1_C_8,Lower Harbor,SUB-4-5,SUB-4-5-S1,8,translucent,,Non-Fiber,2.188,0.375,0,2.188,2078.6,2188,2297.4,356.25,375,393.75,21.88,198.44,375,,,1.03E-09,1.08E-09,1.33E-09,16202167.4,162820020,339225469,0.0167,0.176,0.451,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_A_41,Lower Harbor,SUB-4-11,SUB-4-11-S1,41,blue,,Fiber,2.449,0.302,2.89,2.89,2745.5,2890,3034.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,511000,633000,945000,0.000638,0.000798,0.00121,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_A_15,Lower Harbor,SUB-4-11,SUB-4-11-S1,15,black,,Fiber,2.427,0.405,2.698,2.698,2563.1,2698,2832.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,477000,591000,882000,0.000596,0.000745,0.00113,,,
NA,fiber,,fiber,SUB-4-1-250um_S1_I_7,Lower Harbor,SUB-4-1,SUB-4-1-S1,7,gray,,Fiber,2.423,0.547,2.881,2.881,2736.95,2881,3025.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,509000,631000,942000,0.000636,0.000795,0.00121,,,
NA,fiber,,fiber,SUB-4-5-250um_S1_C_28,Lower Harbor,SUB-4-5,SUB-4-5-S1,28,black,,Fiber,2.417,0.269,2.628,2.628,2496.6,2628,2759.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,464000,576000,859000,0.000581,0.000725,0.0011,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_E_39,Lower Harbor,SUB-4-2,SUB-4-2-S1,39,translucent,,Fiber,2.413,0.53,3.35,3.35,3182.5,3350,3517.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,592000,734000,1090000,0.00074,0.000925,0.0014,,,
NA,fiber,,fiber,SUB-4-9-250um_S1_B_18,Lower Harbor,SUB-4-9,SUB-4-9-S1,18,white,,Fiber,2.412,0.439,2.701,2.701,2565.95,2701,2836.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,477000,592000,883000,0.000597,0.000745,0.00113,,,
NA,fiber,,fiber,SUB-4-7-500um_S1_A_1,Lower Harbor,SUB-4-7,SUB-4-7-S1,1,black,,Fiber,2.408,0.969,3.842,3.842,3649.9,3842,4034.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,679000,842000,1260000,0.000849,0.00106,0.00161,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_B_8,Lower Harbor,SUB-4-1,SUB-4-1-S1,8,blue,,Fiber,2.4,1.052,4.017,4.017,3816.15,4017,4217.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,710000,880000,1310000,0.000887,0.00111,0.00168,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_A_32,Lower Harbor,SUB-4-11,SUB-4-11-S1,32,black,,Fiber,2.399,0.375,2.751,2.751,2613.45,2751,2888.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,486000,603000,899000,0.000608,0.000759,0.00115,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_B_8,Lower Harbor,SUB-4-2,SUB-4-2-S1,8,pink,,Fiber,2.399,0.725,5.115,5.115,4859.25,5115,5370.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,904000,1120000,1670000,0.00113,0.00141,0.00214,,,
NA,fiber,,fiber,SUB-4-10-500um_S2_A_53,Lower Harbor,SUB-4-10,SUB-4-10-S2,53,translucent,,Fiber,2.397,0.903,3.523,3.523,3346.85,3523,3699.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,623000,772000,1150000,0.000778,0.000972,0.00147,,,
NA,fiber,,fiber,SUB-4-11-1000um_S1_A_20,Lower Harbor,SUB-4-11,SUB-4-11-S1,20,black,,Fiber,2.388,1.685,9.422,9.422,8950.9,9422,9893.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1670000,2060000,3080000,0.00208,0.0026,0.00394,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_A_18,Lower Harbor,SUB-4-1,SUB-4-1-S1,18,gray,,Fiber,2.387,0.746,3.142,3.142,2984.9,3142,3299.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,555000,688000,1030000,0.000694,0.000867,0.00131,,,
NA,fiber,,fiber,SUB-4-9-250um_S1_A_32,Lower Harbor,SUB-4-9,SUB-4-9-S1,32,pink,,Fiber,2.386,0.172,2.504,2.504,2378.8,2504,2629.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,442000,548000,818000,0.000553,0.000691,0.00105,,,
NA,fiber,,fiber,SUB-4-10-250um_S2_A_64,Lower Harbor,SUB-4-10,SUB-4-10-S2,64,translucent,,Fiber,2.386,0.635,3.385,3.385,3215.75,3385,3554.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,598000,741000,1110000,0.000748,0.000934,0.00142,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_B_17,Lower Harbor,SUB-4-2,SUB-4-2-S1,17,blue,,Fiber,2.381,0.344,2.815,2.815,2674.25,2815,2955.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,497000,617000,920000,0.000622,0.000777,0.00118,,,
NA,fiber,,fiber,SUB-4-9-500um_S2_A_42,Lower Harbor,SUB-4-9,SUB-4-9-S2,42,translucent,,Fiber,2.38,1.09,4.096,4.096,3891.2,4096,4300.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,724000,897000,1340000,0.000905,0.00113,0.00171,,,
NA,fiber,,fiber,SUB-4-1-PB_S1_A_10,Lower Harbor,SUB-4-1,SUB-4-1-S1,10,translucent,,Fiber,2.38,1.728,10.047,10.047,9544.65,10047,10549.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1780000,2200000,3280000,0.00222,0.00277,0.0042,,,
NA,fiber,,fiber,SUB-4-7-250um_S2_A_74,Lower Harbor,SUB-4-7,SUB-4-7-S2,74,black,,Fiber,2.376,0.454,2.689,2.689,2554.55,2689,2823.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,475000,589000,879000,0.000594,0.000742,0.00112,,,
NA,fiber,,fiber,SUB-4-1-250um_S1_F_17,Lower Harbor,SUB-4-1,SUB-4-1-S1,17,pink,,Fiber,2.374,0.644,2.84,2.84,2698,2840,2982,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,502000,622000,928000,0.000627,0.000784,0.00119,,,
NA,fiber,,fiber,SUB-4-7-1000um_S1_A_1,Lower Harbor,SUB-4-7,SUB-4-7-S1,1,red,,Fiber,2.372,0.445,2.81,2.81,2669.5,2810,2950.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,497000,616000,918000,0.000621,0.000776,0.00118,,,
NA,fiber,,fiber,SUB-4-1-250um_S1_E_34,Lower Harbor,SUB-4-1,SUB-4-1-S1,34,gray,,Fiber,2.37,0.848,3.076,3.076,2922.2,3076,3229.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,544000,674000,1010000,0.000679,0.000849,0.00129,,,
NA,fiber,,fiber,SUB-4-4-250um_S1_A_10,Lower Harbor,SUB-4-4,SUB-4-4-S1,10,translucent,,Fiber,2.36,0.882,3.156,3.156,2998.2,3156,3313.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,558000,691000,1030000,0.000697,0.000871,0.00132,,,
NA,fiber,,fiber,SUB-4-9-250um_S2_B_78,Lower Harbor,SUB-4-9,SUB-4-9-S2,78,translucent,,Fiber,2.355,0.512,2.893,2.893,2748.35,2893,3037.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,511000,634000,946000,0.000639,0.000798,0.00121,,,
NA,fiber,,fiber,SUB-4-5-250um_S1_A_28,Lower Harbor,SUB-4-5,SUB-4-5-S1,28,black,,Fiber,2.351,0.332,2.595,2.595,2465.25,2595,2724.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,459000,568000,848000,0.000573,0.000716,0.00109,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_A_29,Lower Harbor,SUB-4-1,SUB-4-1-S1,29,blue,,Fiber,2.35,1.521,5.721,5.721,5434.95,5721,6007.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1010000,1250000,1870000,0.00126,0.00158,0.00239,,,
NA,fiber,,fiber,SUB-4-10-250um_S1_A_24,Lower Harbor,SUB-4-10,SUB-4-10-S1,24,black,,Fiber,2.348,0.413,2.761,2.761,2622.95,2761,2899.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,488000,605000,902000,0.00061,0.000762,0.00116,,,
NA,fiber,,fiber,SUB-4-10-250um_S2_A_96,Lower Harbor,SUB-4-10,SUB-4-10-S2,96,gray,,Fiber,2.347,1.323,4.815,4.815,4574.25,4815,5055.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,851000,1050000,1570000,0.00106,0.00133,0.00201,,,
NA,fiber,,fiber,SUB-4-7-250um_S1_A_21,Lower Harbor,SUB-4-7,SUB-4-7-S1,21,translucent,,Fiber,2.334,0.661,3.333,3.333,3166.35,3333,3499.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,589000,730000,1090000,0.000736,0.00092,0.00139,,,
NA,fragment,,fragment,SUB-1-2-01-250-500um_S1_B_3,Basin I/III,SUB-1-2,SUB-1-2-S1,3,gray,,Non-Fiber,0.791,0.515,0,0.791,751.45,791,830.55,489.25,515,540.75,7.91,399.455,540.75,,,1.03E-09,1.08E-09,1.33E-09,2908087.08,162723986,242861593,0.003,0.176,0.323,,,
NA,fiber,,fiber,SUB-4-11-250um_S1_A_42,Lower Harbor,SUB-4-11,SUB-4-11-S1,42,blue,,Fiber,2.316,0.607,2.761,2.761,2622.95,2761,2899.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,488000,605000,902000,0.00061,0.000762,0.00116,,,
NA,fiber,,fiber,SUB-4-9-500um_S1_A_15,Lower Harbor,SUB-4-9,SUB-4-9-S1,15,translucent,,Fiber,2.315,1.467,5.964,5.964,5665.8,5964,6262.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1050000,1310000,1950000,0.00132,0.00165,0.0025,,,
NA,fiber,,fiber,SUB-4-2-250um_S1_C_7,Lower Harbor,SUB-4-2,SUB-4-2-S1,7,gray,,Fiber,2.305,0.238,2.397,2.397,2277.15,2397,2516.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,424000,525000,783000,0.000529,0.000662,0.001,,,
NA,fiber,,fiber,SUB-4-1-500um_S1_B_13,Lower Harbor,SUB-4-1,SUB-4-1-S1,13,translucent,,Fiber,2.289,1.19,3.765,3.765,3576.75,3765,3953.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,665000,825000,1230000,0.000832,0.00104,0.00158,,,
NA,fiber,,fiber,SUB-4-2-500um_S1_A_18,Lower Harbor,SUB-4-2,SUB-4-2-S1,18,translucent,,Fiber,2.287,1.166,4.947,4.947,4699.65,4947,5194.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,874000,1080000,1620000,0.00109,0.00137,0.00207,,,
