"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","X","X.1","X.2","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"11",NA,"fiber","","fiber","UNB-3-00-05-250um_A_14","Upper Newport Bay","UNB-3","UNB-3-00-05",14,"black","","Fiber",0.672,0.256,0,0.672,638.4,672,705.6,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,119000,147000,220000,0.000153277,0.000191718,0.000290087,NA,NA,NA,0.000672,1.67e-05,1.67e-05,0.157642603620311,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128238481562384,0.0174112409926164,36.0161466482783,0.00128238481562384
"12",NA,"fiber","","fiber","UNB-3-00-05-250um_A_2","Upper Newport Bay","UNB-3","UNB-3-00-05",2,"gray","","Fiber",0.814,0.13,0,0.814,773.3,814,854.7,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,144000,178000,266000,0.000185478,0.000232148,0.000350742,NA,NA,NA,0.000814,1.67e-05,1.67e-05,0.143233971235774,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128282449395739,0.017417210609015,35.9914623587874,0.00128282449395739
"13",NA,"fiber","","fiber","UNB-3-00-05-250um_A_20","Upper Newport Bay","UNB-3","UNB-3-00-05",20,"black","","Fiber",0.707,0.318,0,0.707,671.65,707,742.35,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,125000,155000,231000,0.000161006,0.000202152,0.000304592,NA,NA,NA,0.000707,1.67e-05,1.67e-05,0.153691032665942,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.0012825032717327,0.017412849299135,36.0094938222684,0.0012825032717327
"14",NA,"fiber","","fiber","UNB-3-00-05-250um_A_22","Upper Newport Bay","UNB-3","UNB-3-00-05",22,"black","","Fiber",0.91,0.528,0,0.91,864.5,910,955.5,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,161000,199000,297000,0.000207375,0.000259537,0.000391618,NA,NA,NA,0.00091,1.67e-05,1.67e-05,0.135468255881769,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128307089411808,0.0174205560420909,35.9776401286716,0.00128307089411808
"15",NA,"fiber","","fiber","UNB-3-00-05-250um_A_27","Upper Newport Bay","UNB-3","UNB-3-00-05",27,"blue","","Fiber",0.674,0.12,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,119000,148000,220000,0.000153277,0.000193022,0.000290087,NA,NA,NA,0.000674,1.67e-05,1.67e-05,0.157408538749385,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128239178946038,0.0174113356780394,36.0157549270605,0.00128239178946038
"16",NA,"fiber","","fiber","UNB-3-00-05-250um_A_28","Upper Newport Bay","UNB-3","UNB-3-00-05",28,"red","","Fiber",0.352,0.262,0,0.352,334.4,352,369.6,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,62200,77100,115000,8.01164e-05,0.000100554,0.000151637,NA,NA,NA,0.000352,1.67e-05,1.67e-05,0.217814558324695,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128074093270686,0.0173889216066703,36.1086623531474,0.00128074093270686
"17",NA,"fiber","","fiber","UNB-3-00-05-250um_A_32","Upper Newport Bay","UNB-3","UNB-3-00-05",32,"black","","Fiber",0.99,0.273,0,0.99,940.5,990,1039.5,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,175000,217000,324000,0.000225408,0.000283012,0.000427219,NA,NA,NA,0.00099,1.67e-05,1.67e-05,0.129879509040829,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.0012832527266385,0.0174230248250919,35.9674450340264,0.0012832527266385
"18",NA,"fiber","","fiber","UNB-3-00-05-250um_A_35","Upper Newport Bay","UNB-3","UNB-3-00-05",35,"green","","Fiber",0.798,0.093,0,0.798,758.1,798,837.9,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,141000,175000,261000,0.000181614,0.000228236,0.000344149,NA,NA,NA,0.000798,1.67e-05,1.67e-05,0.144662774395279,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128277991079164,0.0174166052928622,35.9939641772251,0.00128277991079164
"19",NA,"fiber","","fiber","UNB-3-00-05-250um_A_40","Upper Newport Bay","UNB-3","UNB-3-00-05",40,"black","","Fiber",0.752,0.331,0,0.752,714.4,752,789.6,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,133000,165000,246000,0.00017131,0.000215194,0.00032437,NA,NA,NA,0.000752,1.67e-05,1.67e-05,0.149021632015324,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128264527709553,0.0174147773394271,36.0015208335406,0.00128264527709553
"20",NA,"fiber","","fiber","UNB-3-00-05-250um_A_42","Upper Newport Bay","UNB-3","UNB-3-00-05",42,"black","","Fiber",0.958,0.222,0,0.958,910.1,958,1005.9,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,169000,210000,313000,0.00021768,0.000273883,0.000412715,NA,NA,NA,0.000958,1.67e-05,1.67e-05,0.132030868788903,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128318226594029,0.0174220681635796,35.9713951523181,0.00128318226594029
"21",NA,"fiber","","fiber","UNB-3-00-05-250um_A_46","Upper Newport Bay","UNB-3","UNB-3-00-05",46,"black","","Fiber",0.425,0.343,0,0.425,403.75,425,446.25,15,16.7,20.4,15,16.7,20.4,"","",1.28804e-09,1.3042e-09,1.31858e-09,75100,93100,139000,9.67321e-05,0.000121421,0.000183282,NA,NA,NA,0.000425,1.67e-05,1.67e-05,0.198227439188067,1.67e-05,1026,1304.2,0.271150097465887,0.201560760176932,NA,0.00128124698857935,0.0173957924465652,36.0801442108399,0.00128124698857935
