Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-1-1-12-13_2,12,13,1,12.5,1.087855012,6.364143554,38.36540211,35.26701785,37.2775471,6.020961651,13.02056618,4.704050314,7.295817906,9.844297996,2.092728041,5.140247683,1.431591293,2.589993928,0,0.056523978,0.943476022,0,0,0,0,0,0,0,0.000185765,0.019155314,0.037182899,0.065300443,0.128019246,0.185275813,0.212774273,0.159646687,0.192459561
UNB-1-1-13-14,13,14,1,13.5,1.201808978,7.425810807,46.81381897,38.95279518,45.61200999,6.714231767,16.85771543,4.416921728,7.073235726,9.70057668,2.196230152,5.283654952,1.485565048,2.747222338,0,0.067878046,0.932121954,0,0,0,0,0,0,0,0.000181401,0.022547897,0.045148748,0.088928635,0.147368044,0.180994605,0.19749192,0.147192808,0.170145943
UNB-1-1-14-15,14,15,1,14.5,2.085369062,18.58167596,67.56551595,32.3997882,65.48014689,6.202226969,32.69706476,3.887569077,5.749975559,8.905481555,2.290758409,5.017912477,1.562436425,2.632786322,0,0.116318573,0.883681427,0,0,0,0,0,0,0,0.001074614,0.020976164,0.094267795,0.207450009,0.225827312,0.1588717,0.118504516,0.079069079,0.09395881
UNB-1-1-15-16,15,16,1,15.5,3.553034596,37.80865099,105.8599297,29.79422994,102.3068951,4.426030571,51.29061606,3.239771493,4.725139815,8.136732548,2.511514335,4.896961055,1.548055557,2.146013416,0,0.274577036,0.725422964,0,0,0,0,0,0,0,0.001440457,0.06433013,0.208806449,0.297343846,0.171281845,0.089230677,0.060783615,0.04276187,0.064021112
UNB-1-1-16-17,16,17,1,16.5,1.606063475,15.07206624,77.55237641,48.28724244,75.94631293,9.144483233,36.62493183,3.6886852,6.051978979,9.282255372,2.516412995,5.593570172,1.69351329,3.192901644,0,0.141554367,0.858445633,0,0,0,0,0,0,0,0.001312165,0.035046738,0.105195465,0.181314252,0.16979695,0.144820633,0.138113136,0.102179183,0.12222148
UNB-1-1-17-18,17,18,1,17.5,1.571282421,11.79814812,52.63478951,33.49798153,51.06350709,6.36374281,22.93551532,4.247839511,6.405295763,9.313841772,2.192606794,5.066002262,1.513473407,2.66987553,0,0.07561037,0.92438963,0,0,0,0,0,0,0,0.000213032,0.021807022,0.053590316,0.136468366,0.208189649,0.190919194,0.156337018,0.107277983,0.12519742
UNB-1-1-18-19,18,19,1,18.5,1.42128308,10.67886798,50.75902016,35.71351892,49.33773708,6.282279304,20.93707033,4.30019197,6.549097468,9.458590357,2.199573978,5.158398387,1.497645036,2.651288085,0,0.073880601,0.926119399,0,0,0,0,0,0,0.002863732,0.005605279,0.018482858,0.046928732,0.117342966,0.198926946,0.197569162,0.165222057,0.110291154,0.136767115
UNB-1-1-19-20,19,20,1,19.5,2.551709354,24.86921906,197.8685295,77.54352161,195.3168201,14.36547146,103.8873131,2.337385922,5.329494985,8.614320272,3.685450568,6.276934351,2.215542057,3.844533437,0,0.339311758,0.660688242,0,0,0,0,0,0,0,0.04218531,0.179943948,0.117182501,0.114459614,0.153116744,0.142160743,0.108184205,0.06282012,0.079946816
UNB-1-1-19-20,19,20,1,19.5,1.458260598,12.03925863,80.51815138,55.21520055,79.05989078,7.757223382,27.41247299,3.63454214,6.376109635,9.421535725,2.592220798,5.786993585,1.592302874,2.955540347,0,0.124825612,0.875174388,0,0,0,0,0,0,0,0.002606232,0.045356981,0.076862399,0.12660686,0.179487126,0.180555129,0.145662265,0.110708281,0.132154727
UNB-1-1-20-21,20,21,1,20.5,1.476798337,11.08603531,48.22440703,32.65470025,46.74760869,6.337114241,21.48989003,4.374092691,6.495112682,9.403311451,2.149774162,5.02921876,1.503327401,2.663826024,0,0.062148252,0.937851748,0,0,0,0,0,0,0,0.001469467,0.011960666,0.048718119,0.131979604,0.205573743,0.196960554,0.159314197,0.110887449,0.133136202
