Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-2-10-15-500um_B_5,Upper Newport Bay,UNB-2,UNB-2-10-15,5,blue,,Fiber,1.296,0.603,0,1.296,1231.2,1296,1360.8,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,2.29E+05,2.84E+05,4.24E+05,2.50E-04,3.18E-04,4.83E-04,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-00-05-500um_A_33,Upper Newport Bay,UNB-3,UNB-3-00-05,33,pink,,Fiber,2.177,0.406,0,2.177,2068.15,2177,2285.85,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,3.85E+05,4.77E+05,7.12E+05,4.19E-04,5.34E-04,8.11E-04,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-20-25-1000um_A_22,Upper Newport Bay,UNB-3,UNB-3-20-25,22,orange,,Fiber,3.465,2.881,0,3.465,3291.75,3465,3638.25,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,6.12E+05,7.59E+05,1.13E+06,6.67E-04,8.50E-04,1.29E-03,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-20-25-1000um_B_17,Upper Newport Bay,UNB-3,UNB-3-20-25,17,clear,,Fiber,4.823,1.725,0,4.823,4581.85,4823,5064.15,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,8.52E+05,1.06E+06,1.58E+06,9.29E-04,1.18E-03,1.80E-03,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-25-30-500um_A_18,Upper Newport Bay,UNB-3,UNB-3-25-30,18,blue,,Fiber,1.628,1.02,0,1.628,1546.6,1628,1709.4,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,2.88E+05,3.57E+05,5.32E+05,3.14E-04,3.99E-04,6.07E-04,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-3-30-35-1000um_A_2,Upper Newport Bay,UNB-3,UNB-3-30-35,2,gray,,Fiber,1.364,0.756,0,1.364,1295.8,1364,1432.2,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,2.41E+05,2.99E+05,4.46E+05,2.63E-04,3.35E-04,5.08E-04,
NA,fiber,,fiber,UNB-3-30-35-500um_A_10,Upper Newport Bay,UNB-3,UNB-3-30-35,10,orange,,Fiber,1.044,0.374,0,1.044,991.8,1044,1096.2,15,16.7,20.4,15,16.7,20.4,Unknown,,1.33E-09,1.35E-09,1.37E-09,1.84E+05,2.29E+05,3.41E+05,2.45E-04,3.09E-04,4.67E-04,
NA,fiber,,fiber,UNB-1-05-10-1000um_B_11,Upper Newport Bay,UNB-1,UNB-1-05-10,11,black,,Fiber,2.448,0.156,0,2.448,2325.6,2448,2570.4,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,4.33E+05,5.36E+05,8.00E+05,5.75E-04,7.24E-04,1.10E-03,
NA,fiber,,fiber,UNB-1-05-10-250um_A_14,Upper Newport Bay,UNB-1,UNB-1-05-10,14,blue,,Fiber,1.129,0.353,0,1.129,1072.55,1129,1185.45,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,2.00E+05,2.47E+05,3.69E+05,2.65E-04,3.34E-04,5.06E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_A_3,Upper Newport Bay,UNB-1,UNB-1-05-10,3,black,,Fiber,0.61,0.372,0,0.61,579.5,610,640.5,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.08E+05,1.34E+05,1.99E+05,1.43E-04,1.80E-04,2.73E-04,
NA,fiber,,fiber,UNB-1-05-10-250um_A_36,Upper Newport Bay,UNB-1,UNB-1-05-10,36,gray,,Fiber,0.702,0.285,0,0.702,666.9,702,737.1,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.24E+05,1.54E+05,2.29E+05,1.65E-04,2.08E-04,3.14E-04,
