Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg),OS_Plastic_Not
NA,fiber,,fiber,UNB-2-25-30-500um_C_17,Upper Newport Bay,UNB-2,UNB-2-25-30,17,black,,Fiber,0.459,0.1,0.524,0.524,497.8,524,550.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.26E+04,1.15E+05,1.71E+05,1.23E-04,1.55E-04,2.35E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_20,Upper Newport Bay,UNB-2,UNB-2-05-10,20,gray,,Fiber,0.36,0.186,0.526,0.526,499.7,526,552.3,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.30E+04,1.15E+05,1.72E+05,1.24E-04,1.56E-04,2.36E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_D_39,Upper Newport Bay,UNB-2,UNB-2-05-10,39,black,,Fiber,0.34,0.144,0.528,0.528,501.6,528,554.4,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.33E+04,1.16E+05,1.73E+05,1.24E-04,1.56E-04,2.36E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_B_20,Upper Newport Bay,UNB-2,UNB-2-05-10,20,orange,,Fiber,0.511,0.045,0.533,0.533,506.35,533,559.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.42E+04,1.17E+05,1.74E+05,1.25E-04,1.58E-04,2.39E-04,
NA,fiber,,fiber,UNB-3-05-10-250um_C_26,Upper Newport Bay,UNB-3,UNB-3-05-10,26,black,,Fiber,0.434,0.124,0.544,0.544,516.8,544,571.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.61E+04,1.19E+05,1.78E+05,1.28E-04,1.61E-04,2.44E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_57,Upper Newport Bay,UNB-2,UNB-2-05-10,57,black,,Fiber,0.465,0.123,0.547,0.547,519.65,547,574.35,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.67E+04,1.20E+05,1.79E+05,1.29E-04,1.62E-04,2.45E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_16,Upper Newport Bay,UNB-1,UNB-1-15-20,16,black,,Fiber,0.49,0.101,0.553,0.553,525.35,553,580.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.77E+04,1.21E+05,1.81E+05,1.30E-04,1.64E-04,2.48E-04,
NA,fiber,,fiber,UNB-2-25-30-500um_B_29,Upper Newport Bay,UNB-2,UNB-2-25-30,29,purple,,Fiber,0.525,0.074,0.556,0.556,528.2,556,583.8,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.83E+04,1.22E+05,1.82E+05,1.31E-04,1.64E-04,2.49E-04,
NA,fiber,,fiber,UNB-2-25-30-500um_B_17,Upper Newport Bay,UNB-2,UNB-2-25-30,17,blue,,Fiber,0.511,0.085,0.563,0.563,534.85,563,591.15,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.95E+04,1.23E+05,1.84E+05,1.32E-04,1.66E-04,2.52E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_22,Upper Newport Bay,UNB-1,UNB-1-15-20,22,black,,Fiber,0.514,0.103,0.565,0.565,536.75,565,593.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,9.98E+04,1.24E+05,1.85E+05,1.33E-04,1.67E-04,2.53E-04,
Polyacrylonitriles (Nitriles),fiber,polyacrylonitriles (nitriles),fiber,UNB-1-10-15-500um_B_14,Upper Newport Bay,UNB-1,UNB-1-10-15,14,green,,Fiber,0.426,0.15,0.568,0.568,539.6,568,596.4,15,16.7,20.4,15,16.7,20.4,polyacrylonitriles (nitriles),,1.09E-09,1.12E-09,1.14E-09,1.00E+05,1.24E+05,1.86E+05,1.09E-04,1.39E-04,2.12E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_G_30,Upper Newport Bay,UNB-2,UNB-2-05-10,30,gray,,Fiber,0.302,0.213,0.571,0.571,542.45,571,599.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.01E+05,1.25E+05,1.87E+05,1.34E-04,1.69E-04,2.56E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_G_35,Upper Newport Bay,UNB-2,UNB-2-05-10,35,blue,,Fiber,0.499,0.113,0.573,0.573,544.35,573,601.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.01E+05,1.26E+05,1.87E+05,1.35E-04,1.69E-04,2.57E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_13,Upper Newport Bay,UNB-2,UNB-2-05-10,13,black,,Fiber,0.421,0.168,0.575,0.575,546.25,575,603.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.02E+05,1.26E+05,1.88E+05,1.35E-04,1.70E-04,2.57E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_9,Upper Newport Bay,UNB-2,UNB-2-05-10,9,blue,,Fiber,0.518,0.119,0.578,0.578,549.1,578,606.9,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.02E+05,1.27E+05,1.89E+05,1.36E-04,1.71E-04,2.59E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_6,Upper Newport Bay,UNB-2,UNB-2-05-10,6,gray,,Fiber,0.488,0.119,0.579,0.579,550.05,579,607.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.02E+05,1.27E+05,1.89E+05,1.36E-04,1.71E-04,2.59E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_G_2,Upper Newport Bay,UNB-2,UNB-2-05-10,2,blue,,Fiber,0.472,0.095,0.579,0.579,550.05,579,607.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.02E+05,1.27E+05,1.89E+05,1.36E-04,1.71E-04,2.59E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_C_60,Upper Newport Bay,UNB-2,UNB-2-05-10,60,clear,,Fiber,0.539,0.097,0.58,0.58,551,580,609,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.02E+05,1.27E+05,1.90E+05,1.36E-04,1.72E-04,2.60E-04,
NA,fiber,,fiber,UNB-3-20-25-250um_C_48,Upper Newport Bay,UNB-3,UNB-3-20-25,48,black,,Fiber,0.55,0.06,0.585,0.585,555.75,585,614.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.03E+05,1.28E+05,1.91E+05,1.37E-04,1.73E-04,2.62E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_3,Upper Newport Bay,UNB-1,UNB-1-15-20,3,black,,Fiber,0.519,0.08,0.587,0.587,557.65,587,616.35,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.04E+05,1.29E+05,1.92E+05,1.38E-04,1.74E-04,2.63E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_A_78,Upper Newport Bay,UNB-1,UNB-1-15-20,78,black,,Fiber,0.485,0.136,0.589,0.589,559.55,589,618.45,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.04E+05,1.29E+05,1.93E+05,1.38E-04,1.74E-04,2.64E-04,
NA,fiber,,fiber,UNB-3-15-20-500um_A_46,Upper Newport Bay,UNB-3,UNB-3-15-20,46,black,,Fiber,0.57,0.045,0.593,0.593,563.35,593,622.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.05E+05,1.30E+05,1.94E+05,1.39E-04,1.75E-04,2.66E-04,
NA,fiber,,fiber,UNB-2-20-25-500um_A_43,Upper Newport Bay,UNB-2,UNB-2-20-25,43,black,,Fiber,0.502,0.141,0.595,0.595,565.25,595,624.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.05E+05,1.30E+05,1.94E+05,1.40E-04,1.76E-04,2.66E-04,
NA,fiber,,fiber,UNB-3-00-05-250um_B_20,Upper Newport Bay,UNB-3,UNB-3-00-05,20,black,,Fiber,0.457,0.152,0.597,0.597,567.15,597,626.85,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.05E+05,1.31E+05,1.95E+05,1.40E-04,1.77E-04,2.67E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_21,Upper Newport Bay,UNB-1,UNB-1-40-45,21,black,,Fiber,0.544,0.111,0.599,0.599,569.05,599,628.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.06E+05,1.31E+05,1.96E+05,1.41E-04,1.77E-04,2.68E-04,
NA,fiber,,fiber,UNB-3-00-05-250um_C_26,Upper Newport Bay,UNB-3,UNB-3-00-05,26,black,,Fiber,0.504,0.118,0.6,0.6,570,600,630,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.06E+05,1.31E+05,1.96E+05,1.41E-04,1.77E-04,2.69E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_52,Upper Newport Bay,UNB-1,UNB-1-15-20,52,black,,Fiber,0.489,0.151,0.604,0.604,573.8,604,634.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.07E+05,1.32E+05,1.97E+05,1.42E-04,1.79E-04,2.70E-04,
NA,fiber,,fiber,UNB-3-25-30-250um_D_38,Upper Newport Bay,UNB-3,UNB-3-25-30,38,clear,,Fiber,0.534,0.094,0.611,0.611,580.45,611,641.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.08E+05,1.34E+05,2.00E+05,1.44E-04,1.81E-04,2.74E-04,
NA,fiber,,fiber,UNB-1-40-45-250um_A_4,Upper Newport Bay,UNB-1,UNB-1-40-45,4,black,,Fiber,0.538,0.138,0.615,0.615,584.25,615,645.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.09E+05,1.35E+05,2.01E+05,1.45E-04,1.82E-04,2.75E-04,
NA,fiber,,fiber,UNB-3-35-40-250um_A_36,Upper Newport Bay,UNB-3,UNB-3-35-40,36,blue,,Fiber,0.51,0.105,0.618,0.618,587.1,618,648.9,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.09E+05,1.35E+05,2.02E+05,1.45E-04,1.83E-04,2.77E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_C_49,Upper Newport Bay,UNB-2,UNB-2-05-10,49,gray,,Fiber,0.517,0.16,0.626,0.626,594.7,626,657.3,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.11E+05,1.37E+05,2.05E+05,1.47E-04,1.85E-04,2.80E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_E_11,Upper Newport Bay,UNB-2,UNB-2-05-10,11,red,,Fiber,0.467,0.164,0.63,0.63,598.5,630,661.5,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.11E+05,1.38E+05,2.06E+05,1.48E-04,1.86E-04,2.82E-04,
NA,fiber,,fiber,UNB-3-15-20-250um_D_29,Upper Newport Bay,UNB-3,UNB-3-15-20,29,red,,Fiber,0.409,0.223,0.631,0.631,599.45,631,662.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.12E+05,1.38E+05,2.06E+05,1.48E-04,1.87E-04,2.83E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_46,Upper Newport Bay,UNB-1,UNB-1-15-20,46,black,,Fiber,0.412,0.146,0.632,0.632,600.4,632,663.6,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.12E+05,1.38E+05,2.07E+05,1.49E-04,1.87E-04,2.83E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_59,Upper Newport Bay,UNB-2,UNB-2-05-10,59,black,,Fiber,0.351,0.223,0.639,0.639,607.05,639,670.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.13E+05,1.40E+05,2.09E+05,1.50E-04,1.89E-04,2.86E-04,
ABS,fiber,acrylonitrile butadiene styrene (abs),fiber,UNB-1-00-05-250um_A_23,Upper Newport Bay,UNB-1,UNB-1-00-05,23,blue,,Fiber,0.515,0.15,0.64,0.64,608,640,672,15,16.7,20.4,15,16.7,20.4,acrylonitrile butadiene styrene (abs),,1.11E-09,1.11E-09,1.11E-09,1.13E+05,1.40E+05,2.09E+05,1.26E-04,1.56E-04,2.32E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_D_28,Upper Newport Bay,UNB-2,UNB-2-05-10,28,green,,Fiber,0.619,0.068,0.641,0.641,608.95,641,673.05,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.13E+05,1.40E+05,2.10E+05,1.51E-04,1.90E-04,2.87E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_D_35,Upper Newport Bay,UNB-2,UNB-2-05-10,35,black,,Fiber,0.311,0.147,0.643,0.643,610.85,643,675.15,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.14E+05,1.41E+05,2.10E+05,1.51E-04,1.90E-04,2.88E-04,
NA,fiber,,fiber,UNB-1-10-15-250um_A_41,Upper Newport Bay,UNB-1,UNB-1-10-15,41,black,,Fiber,0.463,0.204,0.649,0.649,616.55,649,681.45,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.15E+05,1.42E+05,2.12E+05,1.53E-04,1.92E-04,2.91E-04,
NA,fiber,,fiber,UNB-2-00-05-500um_A_33,Upper Newport Bay,UNB-2,UNB-2-00-05,33,blue,,Fiber,0.516,0.177,0.649,0.649,616.55,649,681.45,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.15E+05,1.42E+05,2.12E+05,1.53E-04,1.92E-04,2.91E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_A_5,Upper Newport Bay,UNB-2,UNB-2-05-10,5,black,,Fiber,0.601,0.106,0.654,0.654,621.3,654,686.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.16E+05,1.43E+05,2.14E+05,1.54E-04,1.93E-04,2.93E-04,
NA,fiber,,fiber,UNB-2-00-05-250um_B_28,Upper Newport Bay,UNB-2,UNB-2-00-05,28,black,,Fiber,0.606,0.09,0.66,0.66,627,660,693,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.17E+05,1.45E+05,2.16E+05,1.55E-04,1.95E-04,2.96E-04,
NA,fiber,,fiber,UNB-1-30-35-1000um_A_9,Upper Newport Bay,UNB-1,UNB-1-30-35,9,blue,,Fiber,0.381,0.239,0.663,0.663,629.85,663,696.15,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.17E+05,1.45E+05,2.17E+05,1.56E-04,1.96E-04,2.97E-04,
NA,fiber,,fiber,UNB-3-05-10-250um_C_18,Upper Newport Bay,UNB-3,UNB-3-05-10,18,black,,Fiber,0.607,0.111,0.663,0.663,629.85,663,696.15,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.17E+05,1.45E+05,2.17E+05,1.56E-04,1.96E-04,2.97E-04,
NA,fiber,,fiber,UNB-3-15-20-250um_D_15,Upper Newport Bay,UNB-3,UNB-3-15-20,15,gray,,Fiber,0.647,0.058,0.665,0.665,631.75,665,698.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.18E+05,1.46E+05,2.17E+05,1.56E-04,1.97E-04,2.98E-04,
NA,fiber,,fiber,UNB-2-25-30-500um_B_77,Upper Newport Bay,UNB-2,UNB-2-25-30,77,black,,Fiber,0.378,0.208,0.666,0.666,632.7,666,699.3,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.18E+05,1.46E+05,2.18E+05,1.57E-04,1.97E-04,2.98E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_D_50,Upper Newport Bay,UNB-2,UNB-2-05-10,50,black,,Fiber,0.639,0.089,0.679,0.679,645.05,679,712.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.20E+05,1.49E+05,2.22E+05,1.60E-04,2.01E-04,3.04E-04,
PET,fiber,poly(ethylene terephthalate),fiber,UNB-1-00-05-250um_A_18,Upper Newport Bay,UNB-1,UNB-1-00-05,18,black,,Fiber,0.518,0.149,0.682,0.682,647.9,682,716.1,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,1.21E+05,1.49E+05,2.23E+05,1.74E-04,2.17E-04,3.25E-04,
NA,fiber,,fiber,UNB-2-35-40-500um_A_40,Upper Newport Bay,UNB-2,UNB-2-35-40,40,gray,,Fiber,0.512,0.202,0.682,0.682,647.9,682,716.1,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.21E+05,1.49E+05,2.23E+05,1.60E-04,2.02E-04,3.05E-04,
NA,fiber,,fiber,UNB-3-15-20-250um_A_6,Upper Newport Bay,UNB-3,UNB-3-15-20,6,red,,Fiber,0.521,0.116,0.688,0.688,653.6,688,722.4,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.51E+05,2.25E+05,1.62E-04,2.03E-04,3.08E-04,
NA,fiber,,fiber,UNB-1-10-15-250um_A_23,Upper Newport Bay,UNB-1,UNB-1-10-15,23,black,,Fiber,0.632,0.102,0.691,0.691,656.45,691,725.55,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.51E+05,2.26E+05,1.62E-04,2.04E-04,3.09E-04,
NA,fiber,,fiber,UNB-2-00-05-250um_C_27,Upper Newport Bay,UNB-2,UNB-2-00-05,27,green,,Fiber,0.579,0.159,0.692,0.692,657.4,692,726.6,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.52E+05,2.26E+05,1.63E-04,2.05E-04,3.10E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_18,Upper Newport Bay,UNB-1,UNB-1-15-20,18,black,,Fiber,0.336,0.206,0.693,0.693,658.35,693,727.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.52E+05,2.27E+05,1.63E-04,2.05E-04,3.10E-04,
NA,fiber,,fiber,UNB-3-10-15-250um_E_13,Upper Newport Bay,UNB-3,UNB-3-10-15,13,blue,,Fiber,0.635,0.11,0.693,0.693,658.35,693,727.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.52E+05,2.27E+05,1.63E-04,2.05E-04,3.10E-04,
NA,fiber,,fiber,UNB-3-15-20-250um_C_48,Upper Newport Bay,UNB-3,UNB-3-15-20,48,gray,,Fiber,0.535,0.167,0.693,0.693,658.35,693,727.65,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.22E+05,1.52E+05,2.27E+05,1.63E-04,2.05E-04,3.10E-04,
NA,fiber,,fiber,UNB-1-10-15-250um_A_12,Upper Newport Bay,UNB-1,UNB-1-10-15,12,black,,Fiber,0.583,0.158,0.695,0.695,660.25,695,729.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.23E+05,1.52E+05,2.27E+05,1.63E-04,2.06E-04,3.11E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_A_54,Upper Newport Bay,UNB-1,UNB-1-15-20,54,black,,Fiber,0.465,0.225,0.695,0.695,660.25,695,729.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.23E+05,1.52E+05,2.27E+05,1.63E-04,2.06E-04,3.11E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_30,Upper Newport Bay,UNB-1,UNB-1-15-20,30,black,,Fiber,0.435,0.249,0.701,0.701,665.95,701,736.05,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.24E+05,1.54E+05,2.29E+05,1.65E-04,2.07E-04,3.14E-04,
NA,fiber,,fiber,UNB-1-20-25-250um_A_3,Upper Newport Bay,UNB-1,UNB-1-20-25,3,blue,,Fiber,0.583,0.174,0.704,0.704,668.8,704,739.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.24E+05,1.54E+05,2.30E+05,1.65E-04,2.08E-04,3.15E-04,
NA,fiber,,fiber,UNB-2-20-25-1000um_A_3,Upper Newport Bay,UNB-2,UNB-2-20-25,3,black,,Fiber,0.588,0.161,0.708,0.708,672.6,708,743.4,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.25E+05,1.55E+05,2.31E+05,1.66E-04,2.09E-04,3.17E-04,
NA,fiber,,fiber,UNB-1-10-15-250um_A_24,Upper Newport Bay,UNB-1,UNB-1-10-15,24,black,,Fiber,0.643,0.144,0.71,0.71,674.5,710,745.5,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.25E+05,1.56E+05,2.32E+05,1.67E-04,2.10E-04,3.18E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_F_52,Upper Newport Bay,UNB-2,UNB-2-05-10,52,blue,,Fiber,0.692,0.067,0.714,0.714,678.3,714,749.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.26E+05,1.56E+05,2.33E+05,1.68E-04,2.11E-04,3.20E-04,
NA,fiber,,fiber,UNB-2-20-25-500um_A_40,Upper Newport Bay,UNB-2,UNB-2-20-25,40,blue,,Fiber,0.49,0.212,0.714,0.714,678.3,714,749.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.26E+05,1.56E+05,2.33E+05,1.68E-04,2.11E-04,3.20E-04,
NA,fiber,,fiber,UNB-3-15-20-250um_C_42,Upper Newport Bay,UNB-3,UNB-3-15-20,42,black,,Fiber,0.648,0.111,0.715,0.715,679.25,715,750.75,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.26E+05,1.57E+05,2.34E+05,1.68E-04,2.11E-04,3.20E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_25,Upper Newport Bay,UNB-1,UNB-1-15-20,25,black,,Fiber,0.471,0.237,0.722,0.722,685.9,722,758.1,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.28E+05,1.58E+05,2.36E+05,1.70E-04,2.13E-04,3.23E-04,
NA,fiber,,fiber,UNB-3-40-45-250um_A_38,Upper Newport Bay,UNB-3,UNB-3-40-45,38,black,,Fiber,0.691,0.066,0.724,0.724,687.8,724,760.2,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.28E+05,1.59E+05,2.37E+05,1.70E-04,2.14E-04,3.24E-04,
NA,fiber,,fiber,UNB-1-15-20-500um_C_3,Upper Newport Bay,UNB-1,UNB-1-15-20,3,black,,Fiber,0.572,0.147,0.725,0.725,688.75,725,761.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.28E+05,1.59E+05,2.37E+05,1.70E-04,2.14E-04,3.25E-04,
NA,fiber,,fiber,UNB-3-20-25-250um_B_38,Upper Newport Bay,UNB-3,UNB-3-20-25,38,black,,Fiber,0.601,0.182,0.725,0.725,688.75,725,761.25,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.28E+05,1.59E+05,2.37E+05,1.70E-04,2.14E-04,3.25E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_G_9,Upper Newport Bay,UNB-2,UNB-2-05-10,9,black,,Fiber,0.594,0.141,0.728,0.728,691.6,728,764.4,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.29E+05,1.59E+05,2.38E+05,1.71E-04,2.15E-04,3.26E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_42,Upper Newport Bay,UNB-1,UNB-1-15-20,42,black,,Fiber,0.642,0.154,0.73,0.73,693.5,730,766.5,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.29E+05,1.60E+05,2.39E+05,1.72E-04,2.16E-04,3.27E-04,
NA,fiber,,fiber,UNB-3-20-25-500um_B_13,Upper Newport Bay,UNB-3,UNB-3-20-25,13,black,,Fiber,0.534,0.205,0.732,0.732,695.4,732,768.6,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.29E+05,1.60E+05,2.39E+05,1.72E-04,2.16E-04,3.28E-04,
NA,fiber,,fiber,UNB-3-25-30-250um_G_21,Upper Newport Bay,UNB-3,UNB-3-25-30,21,red,,Fiber,0.625,0.111,0.734,0.734,697.3,734,770.7,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.30E+05,1.61E+05,2.40E+05,1.73E-04,2.17E-04,3.29E-04,
NA,fiber,,fiber,UNB-2-05-10-250um_A_53,Upper Newport Bay,UNB-2,UNB-2-05-10,53,black,,Fiber,0.64,0.141,0.737,0.737,700.15,737,773.85,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.30E+05,1.61E+05,2.41E+05,1.73E-04,2.18E-04,3.30E-04,
NA,fiber,,fiber,UNB-3-25-30-250um_D_50,Upper Newport Bay,UNB-3,UNB-3-25-30,50,blue,,Fiber,0.634,0.173,0.737,0.737,700.15,737,773.85,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.30E+05,1.61E+05,2.41E+05,1.73E-04,2.18E-04,3.30E-04,
NA,fiber,,fiber,UNB-1-15-20-250um_B_10,Upper Newport Bay,UNB-1,UNB-1-15-20,10,black,,Fiber,0.676,0.123,0.739,0.739,702.05,739,775.95,15,16.7,20.4,15,16.7,20.4,,,1.33E-09,1.35E-09,1.37E-09,1.31E+05,1.62E+05,2.42E+05,1.74E-04,2.19E-04,3.31E-04,
PMMA,fiber,poly(methyl methacrylate),fiber,UNB-2-40-45-1000um_A_1,Upper Newport Bay,UNB-2,UNB-2-40-45,1,black,,Fiber,0.493,0.258,0.742,0.742,704.9,742,779.1,15,16.7,20.4,15,16.7,20.4,Unknown,poly(methyl methacrylate),1.17E-09,1.18E-09,1.19E-09,1.31E+05,1.63E+05,2.43E+05,1.53E-04,1.92E-04,2.89E-04,
