"","Site","Sample","count","acrylonitrile butadiene styrene (abs)","cellulose derivatives (ether cellulose)","ethylene-vinyl acetate","poly(acrylamide/amid)s","poly(esters/ethers/diglycidylethers/terephthalates)s","poly(ethylene)","poly(propylene)","polyacrylonitriles (nitriles)","polycarbonates","polydienes (butadienes, isoprenes)","polyhaloolefins (vinylhalides)","polyhydroxy(meth)acrylates","polymethacrylates","polystyrenes (polyphenylethylenes, -methylstyrene)","polyurethanes (isocyanates)","polyvinylesters"
"40","Lower Harbor","SUB-4-9-S2",8,0,0,0,0,0,0,3.33333333333333,0,0,0,0,0,0,0,0,0
"41","Middle Newport Bay","SUB-3-3-S1",1,0,0,0,0,0.746268656716418,0,0,0.746268656716418,0.746268656716418,0,0,0,0,0,0,0
"42","Middle Newport Bay","SUB-3-3-S1",2,0,0,0,1.49253731343284,0,0,0,0,0,0,1.49253731343284,0,0,0,0,1.49253731343284
"43","Middle Newport Bay","SUB-3-3-S1",3,0,0,0,0,0,0,0,0,0,2.23880597014925,0,0,0,0,0,0
"44","Middle Newport Bay","SUB-3-3-S1",5,0,0,0,0,0,0,3.73134328358209,0,0,0,0,0,0,0,0,0
"45","Middle Newport Bay","SUB-3-3-S1",6,0,0,0,0,0,4.47761194029851,0,0,0,0,0,0,0,0,0,0
"46","Middle Newport Bay","SUB-3-3-S1",7,0,0,0,0,0,0,0,0,0,0,0,0,0,5.22388059701492,0,0
"47","Middle Newport Bay","SUB-3-6-S1",2,0,0,0,0,0,0,0,0,0,1.49253731343284,0,0,0,0,0,0
"48","Middle Newport Bay","SUB-3-6-S1",4,0,0,0,0,0,0,0,0,0,0,2.98507462686567,0,0,2.98507462686567,0,0
"49","Middle Newport Bay","SUB-3-6-S1",5,0,0,0,0,0,3.73134328358209,0,0,0,0,0,0,0,0,0,0
"50","Middle Newport Bay","SUB-3-6-S1",8,0,0,0,0,0,0,5.97014925373134,0,0,0,0,0,0,0,0,0
"51","Middle Newport Bay","SUB-3-7-S1",1,0,0.746268656716418,0,0,0.746268656716418,0,0,0.746268656716418,0,0,0,0,0.746268656716418,0,0,0
"52","Middle Newport Bay","SUB-3-7-S1",4,0,0,0,0,0,0,0,0,0,0,2.98507462686567,0,0,0,0,0
"53","Middle Newport Bay","SUB-3-7-S1",6,0,0,0,0,0,0,0,0,0,4.47761194029851,0,0,0,0,0,0
"54","Middle Newport Bay","SUB-3-7-S1",8,0,0,0,0,0,0,5.97014925373134,0,0,0,0,0,0,0,0,0
"55","Middle Newport Bay","SUB-3-7-S1",10,0,0,0,0,0,0,0,0,0,0,0,0,0,7.46268656716418,0,0
"56","Middle Newport Bay","SUB-3-7-S1",12,0,0,0,0,0,8.95522388059701,0,0,0,0,0,0,0,0,0,0
"57","Middle Newport Bay","SUB-3-9-S1",1,0,0,0,0.746268656716418,0,0,0,0,0,0,0,0,0.746268656716418,0,0,0
"58","Middle Newport Bay","SUB-3-9-S1",2,0,0,0,0,1.49253731343284,0,0,0,0,0,0,0,0,0,0,0
"59","Middle Newport Bay","SUB-3-9-S1",3,0,0,0,0,0,0,0,0,0,0,2.23880597014925,0,0,0,0,0
"60","Middle Newport Bay","SUB-3-9-S1",6,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47761194029851,0,0
"61","Middle Newport Bay","SUB-3-9-S1",10,0,0,0,0,0,0,7.46268656716418,0,0,0,0,0,0,0,0,0
"62","Middle Newport Bay","SUB-3-9-S1",14,0,0,0,0,0,10.4477611940298,0,0,0,0,0,0,0,0,0,0
"63","Upper Bay Basin I/III","SUB-1-2-S1",1,0,0,0,0,0.819672131147541,0,0,0,0,0,0.819672131147541,0,0,0,0.819672131147541,0
"64","Upper Bay Basin I/III","SUB-1-2-S1",2,0,0,0,1.63934426229508,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0
"65","Upper Bay Basin I/III","SUB-1-2-S1",3,0,0,0,0,0,0,0,2.45901639344262,0,0,0,0,0,0,0,0
"66","Upper Bay Basin I/III","SUB-1-2-S1",4,0,0,0,0,0,0,0,0,0,3.27868852459016,0,0,0,0,0,0
"67","Upper Bay Basin I/III","SUB-1-2-S1",8,0,0,0,0,0,6.55737704918033,0,0,0,0,0,0,0,0,0,0
"68","Upper Bay Basin I/III","SUB-1-2-S1",9,0,0,0,0,0,0,7.37704918032787,0,0,0,0,0,0,0,0,0
"69","Upper Bay Basin I/III","SUB-1-3-S1",1,0.819672131147541,0,0,0.819672131147541,0,0,0,0,0,0,0,0.819672131147541,0,0.819672131147541,0,0
"70","Upper Bay Basin I/III","SUB-1-3-S1",2,0,0,0,0,0,0,0,0,0,0,1.63934426229508,0,0,0,0,0
"71","Upper Bay Basin I/III","SUB-1-3-S1",6,0,0,0,0,0,4.91803278688525,0,0,0,0,0,0,0,0,0,0
"72","Upper Bay Basin I/III","SUB-1-3-S1",9,0,0,0,0,0,0,7.37704918032787,0,0,0,0,0,0,0,0,0
"73","Upper Bay Basin I/III","SUB-1-4-S1",1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.819672131147541,0,0
"74","Upper Bay Basin I/III","SUB-1-4-S1",3,0,0,0,0,0,0,2.45901639344262,0,0,0,0,0,0,0,0,0
