Sample ID,Top,Bottom,width,plot,D10 (mm):,D50 (mm):,D90 (mm):,(D90 / D10) (mm):,(D90 - D10) (mm):,(D75 / D25) (mm):,(D75 - D25) (mm):,D10 (f):,D50 (f):,D90 (f):,(D90 / D10) (f):,(D90 - D10) (f):,(D75 / D25) (f):,(D75 - D25) (f):,% GRAVEL:,% SAND:,% MUD:,% V COARSE GRAVEL:,% COARSE GRAVEL:,% MEDIUM GRAVEL:,% FINE GRAVEL:,% V FINE GRAVEL:,% V COARSE SAND:,% COARSE SAND:,% MEDIUM SAND:,% FINE SAND:,% V FINE SAND:,% V COARSE SILT:,% COARSE SILT:,% MEDIUM SILT:,% FINE SILT:,% V FINE SILT:,% CLAY:
UNB-3-1-0-1,0,1,1,0.5,1.364262509,10.82673286,86.57679404,63.46050959,85.21253153,9.529204139,30.78368616,3.529875812,6.529258237,9.517663013,2.696316675,5.987787201,1.66896872,3.252355728,0,0.140792872,0.859207128,0,0,0,0,0,0,0,0.010014856,0.053093515,0.0776845,0.127843432,0.154780505,0.152237987,0.15832041,0.119896685,0.146128109
UNB-3-1-1-2,1,2,1,1.5,1.190348374,8.033854324,49.51491289,41.59699291,48.32456451,7.346060631,19.24297647,4.335993089,6.959691983,9.714400422,2.240409572,5.378407333,1.524189761,2.876970803,0,0.066226578,0.933773422,0,0,0,0,0,0,0,0.000330432,0.015107549,0.050788597,0.111999753,0.154587515,0.1749248,0.185218127,0.138095957,0.16894727
UNB-3-1-2-3,2,3,1,2.5,1.168035769,7.354326591,44.37506759,37.99118895,43.20703182,6.648946179,16.07875024,4.494106873,7.087191039,9.74169983,2.167660918,5.247592957,1.477522232,2.7331257,0,0.064234034,0.935765966,0,0,0,0,0,0,0,0.002362048,0.019718996,0.04215299,0.083849267,0.147029701,0.187134294,0.194087723,0.146396483,0.177268497
UNB-3-1-3-4,3,4,1,3.5,1.168231607,7.623914407,48.09917494,41.17263618,46.93094333,6.843425315,16.96021119,4.377844042,7.035252362,9.741457961,2.225172452,5.363613919,1.49077076,2.774718613,0,0.07135631,0.92864369,0,0,0,0,0,0,0,0.001628464,0.021061736,0.048666109,0.088523138,0.147163157,0.185943258,0.189193219,0.142762059,0.175058859
UNB-3-1-4-5,4,5,1,4.5,1.200668106,7.589305807,46.73061316,38.92050844,45.52994506,6.632357684,16.42421388,4.419488223,7.041816356,9.701946874,2.195264788,5.282458652,1.479515532,2.729521814,0,0.071589265,0.928410735,0,0,0,0,0,0,0,0.004013522,0.027326723,0.040249019,0.081957967,0.148563018,0.189471511,0.19066794,0.145173109,0.17257719
UNB-3-1-5-6,5,6,1,5.5,1.214955414,7.440167185,41.9473289,34.5258175,40.73237349,6.360574813,15.78878463,4.575277243,7.070449245,9.684880913,2.116785584,5.10960367,1.465156908,2.66915715,0,0.059644588,0.940355412,0,0,0,0,0,0,0,0.00218463,0.021802612,0.035657345,0.07996954,0.154861532,0.191004241,0.197207123,0.147337048,0.169975928
UNB-3-1-6-7,6,7,1,6.5,1.171002684,7.088434584,35.54548059,30.35473879,34.3744779,6.086682608,14.31005705,4.814190049,7.140317228,9.738039902,2.022778454,4.923849853,1.444052906,2.605656138,0,0.04377197,0.95622803,0,0,0,0,0,0,0,0.000622541,0.015568201,0.027581228,0.074031142,0.155516217,0.197090306,0.200771426,0.15110123,0.17771771
UNB-3-1-7-8,7,8,1,7.5,1.240438364,7.264213991,32.31796756,26.0536666,31.0775292,5.594754205,13.65740224,4.951519718,7.104977582,9.654934234,1.94989312,4.703414516,1.420311098,2.484074751,0,0.033981232,0.966018768,0,0,0,0,0,0,0,0.000330128,0.010663361,0.022987743,0.071126827,0.161740897,0.209974205,0.206372707,0.150010322,0.16679381
UNB-3-1-8-9,8,9,1,8.5,1.299020607,7.781430219,32.7661967,25.22376975,31.46717609,5.541253656,14.50853895,4.931647967,7.005748939,9.588359967,1.944250691,4.656712001,1.424447362,2.470212409,0,0.029643685,0.970356315,0,0,0,0,0,0,0,2.9514E-05,0.005074186,0.024539985,0.078935064,0.176372212,0.213770101,0.203399625,0.141202663,0.15667665
UNB-3-1-9-10,9,10,1,9.5,1.245374208,7.7209684,37.50619319,30.11640432,36.26081898,6.016425515,15.35088495,4.73672735,7.017002476,9.649204978,2.037103735,4.912477628,1.44920657,2.588906606,0,0.042910943,0.957089057,0,0,0,0,0,0,0,0.00065513,0.013297138,0.028958675,0.084557723,0.165639794,0.203263418,0.196983421,0.14187694,0.16476776
UNB-3-1-10-11,10,11,1,10.5,1.024748182,6.41424405,30.59428543,29.8554181,29.56953724,6.185904507,13.06762105,5.030593986,7.284505038,9.930514854,1.974024316,4.899920867,1.437910781,2.628984562,0,0.025953188,0.974046812,0,0,0,0,0,0,0,6.69172E-05,0.005949993,0.019936278,0.070927053,0.152540303,0.190455723,0.204161828,0.156751165,0.199210739
UNB-3-1-11-12,11,12,1,11.5,0.949335225,6.08533008,28.41587701,29.93239508,27.46654179,6.055113059,12.13103911,5.137158947,7.360448765,10.04079476,1.954542359,4.903635817,1.425595984,2.598153898,0,0.022121556,0.977878444,0,0,0,0,0,0,0,0.000365737,0.006350788,0.015405031,0.063927508,0.14656817,0.189655304,0.20945389,0.158809462,0.209464111
UNB-3-1-12-13,12,13,1,12.5,2.826371319,25.60354255,82.1027507,29.04881965,79.27637938,5.552435579,41.10688055,3.606425632,5.287512752,8.46683327,2.347707712,4.860407638,1.572747592,2.473120749,0,0.172389967,0.827610033,0,0,0,0,0,0,0,0.000330585,0.030761091,0.141298292,0.257678913,0.211210144,0.132869417,0.094067719,0.060220042,0.071563798
UNB-3-1-13-14,13,14,1,13.5,3.298971683,36.19486171,102.7407745,31.14327263,99.44180283,4.679055238,50.63621557,3.28291924,4.788071286,8.24376789,2.511108951,4.96084865,1.562630061,2.22621726,0,0.262322777,0.737677223,0,0,0,0,0,0,0,0.000230587,0.057831564,0.204260626,0.29157,0.176320632,0.091684589,0.065584421,0.044188064,0.068329516
UNB-3-1-14-15,14,15,1,14.5,1.397148784,13.71406076,75.88726849,54.31581041,74.4901197,9.802273754,36.42040868,3.719998323,6.18820037,9.483298621,2.549274972,5.763300298,1.712199356,3.293116438,0,0.13975864,0.86024136,0,0,0,0,0,0,0,0.000695561,0.030359232,0.108703848,0.174331067,0.158837767,0.147496606,0.139988831,0.102849595,0.136737493
UNB-3-1-15-16,15,16,1,15.5,1.247775687,7.914514301,42.1973063,33.81802254,40.94953062,6.53928809,17.16665135,4.566705283,6.981283467,9.646425681,2.112338126,5.079720398,1.481639628,2.709133583,0,0.050747037,0.949252963,0,0,0,0,0,0,0,2.14616E-06,0.008674245,0.042070645,0.099437418,0.164883686,0.188730983,0.192442205,0.140945804,0.162812867
