Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_1,black,Black,fiber,Fiber,,2.19,1.63,5.721,plastic,0.97291529,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_10,blue,Blue,fiber,Fiber,,4.191,2.391,17.02,plastic,0.857029167,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_11,white,White,fragment,Non-Fiber,,3.461,2.512,0,plastic,0.845709019,TRUE,polyhaloolefins (vinylhalides),poly(vinyl chloride),pvc 1. clear fragment
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_12,black,Black,fiber,Fiber,,2.312,1.326,4.358,plastic,0.921249317,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_14,white,White,foam,Non-Fiber,,3.904,2.805,0,plastic,0.956889875,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,polystyrene-packaging foam-centrifuge tube
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_15,black,Black,fragment,Non-Fiber,,1.887,1.416,0,plastic,0.923801611,TRUE,poly(ethylene),poly(ethylene),pe
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_16,white,White,foam,Non-Fiber,,2.866,1.467,0,plastic,0.889523275,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",,styrene_allyl_alcohol
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_17,white,White,foam,Non-Fiber,,4.084,3.337,0,plastic,0.911131025,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_18,white,White,foam,Non-Fiber,,4.37,3.207,0,plastic,0.941903796,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,polystyrene-biaxial film-goodfellow
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_2,black,Black,fiber,Fiber,,3.116,1.273,5.228,plastic,0.916905138,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_20,black,Black,fiber,Fiber,,0.9,0.465,3.44,plastic,0.706997624,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_21,white,White,foam,Non-Fiber,,1.962,1.419,0,plastic,0.889972912,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_22,white,White,foam,Non-Fiber,,3.244,2.559,0,plastic,0.893838283,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_23,black,Black,fiber,Fiber,turning clear,1.292,0.821,5.878,plastic,0.868320125,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_24,pink,Red,fragment,Non-Fiber,same as 4,1.644,0.631,0,plastic,0.901104251,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_25,black,Black,fragment,Non-Fiber,same as 15,3.414,2.351,0,plastic,0.918650761,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_26,black,Black,fiber,Fiber,,1.621,0.723,3.684,plastic,0.83612363,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,,fibre_polyester
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_27,blue,Blue,fiber,Fiber,,2.732,1.741,6.46,plastic,0.849481808,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,,fibre_polyester
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_28,blue,Blue,fiber,Fiber,,4.29,2.026,14.858,plastic,0.866124177,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_29,black,Black,fiber,Fiber,,3.907,1.546,7.469,plastic,0.828463793,TRUE,poly(propylene),poly(propylene),pbe
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_3,blue,Blue,fiber,Fiber,,0.476,0.339,1.029,plastic,0.933870862,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_4,pink,Red,fragment,Non-Fiber,,1.157,0.637,0,plastic,0.901574554,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_5,blue,Blue,fiber,Fiber,,2.301,0.707,6.146,plastic,0.78952027,TRUE,polyacrylonitriles (nitriles),,pan
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_6,blue,Blue,fiber,Fiber,,3.915,1.628,15.406,plastic,0.737006856,TRUE,polyacrylonitriles (nitriles),poly(acrylonitrile),*acrylic 4. purple yarn fiber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_7,white,White,foam,Non-Fiber,,4.996,3.062,0,plastic,0.856828305,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_8,blue,Blue,fiber,Fiber,,3.439,0.902,4.491,plastic,0.883706514,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_A_9,black,Black,fragment,Non-Fiber,,3.782,1.735,0,plastic,0.732217574,TRUE,poly(ethylene),poly(ethylene),uldpe
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_2,black,Black,fiber,Fiber,,3.215,0.544,5.593,plastic,0.766050848,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_3,black,Black,fiber,Fiber,,2.471,0.751,3.205,plastic,0.75783423,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,,pes
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_4,black,Black,fiber,Fiber,,3.388,0.945,4.109,plastic,0.861647795,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_5,black,,not plastic,,or fragilen fiber,2.034,1.703,6.785,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_6,black,Black,fiber,Fiber,,4.52,2.143,7.674,plastic,0.837042089,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_7,black,,not plastic,,,1.546,0.417,1.9,plastic,0.875404278,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_8,black,Black,fiber,Fiber,,1.193,0.299,1.865,plastic,0.835212908,TRUE,polymethacrylates,poly(methyl methacrylate),pmma
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,1000um,UNB-1-00-05-1000um_B_9,yellow,Yellow,fragment,Non-Fiber,,3.589,3.341,0,plastic,0.832119763,TRUE,poly(propylene),,rubber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_1,black,Black,fragment,Non-Fiber,,0.767,0.412,0,plastic,0.848604253,TRUE,poly(ethylene),,rubber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_10,blue,Blue,fiber,Fiber,,1.42,0.702,5.065,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_11,blue,Blue,fiber,Fiber,,1.374,0.217,1.66,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_12,blue,Blue,fiber,Fiber,,1.39,0.213,1.586,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_13,black,Black,fiber,Fiber,,1.019,0.136,1.116,not plastic,0.498534531,FALSE,Unknown,,romeite
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_14,black,Black,fiber,Fiber,,1.002,0.407,2.089,plastic,0.766054618,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.2
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_15,blue,Blue,fiber,Fiber,,1.679,0.054,1.711,plastic,0.713488657,TRUE,polyacrylonitriles (nitriles),poly(acrylonitrile),acrylic 1. green yarn fiber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_16,black,Black,fiber,Fiber,,1.208,0.164,1.3,plastic,0.742035554,TRUE,acrylonitrile butadiene styrene (abs),,abs
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_17,black,Black,fiber,Fiber,,1.33,0.36,2.174,plastic,0.5328041,FALSE,Unknown,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_18,black,Black,fiber,Fiber,,0.518,0.149,0.682,plastic,0.705076354,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_19,black,Black,fiber,Fiber,,1.35,0.451,1.822,plastic,0.626397662,FALSE,Unknown,poly(acrylonitrile),*acrylic 5. pink fiber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_2,black,Black,fiber,Fiber,,1.101,0.303,1.433,plastic,0.852083526,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_20,blue,Blue,fiber,Fiber,,1.818,0.456,2.07,plastic,0.65670468,FALSE,Unknown,poly(acrylonitrile),*acrylic 5. pink fiber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_21,blue,Blue,fiber,Fiber,,0.718,0.336,1.07,plastic,0.814635287,TRUE,polymethacrylates,,pbs
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_22,black,Black,fiber,Fiber,,1.081,0.279,1.505,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_23,blue,Blue,fiber,Fiber,,0.515,0.15,0.64,plastic,0.724779657,TRUE,acrylonitrile butadiene styrene (abs),,abs
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_24,black,Black,fiber,Fiber,,1.225,0.227,1.705,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_25,black,Black,fiber,Fiber,,0.918,0.476,2.143,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_26,black,Black,fiber,Fiber,,1.522,0.489,2.209,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_27,black,Black,fiber,Fiber,,2.116,0.523,2.889,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_28,black,Black,fiber,Fiber,,0.877,0.451,1.575,plastic,0.67308716,FALSE,Unknown,,pes
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_29,silver,,not plastic,,from core barrel,0.874,0.542,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_3,black,Black,fiber,Fiber,,0.856,0.593,2.746,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_30,gray,Black,fiber,Fiber,,0.817,0.565,1.728,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_31,black,Black,fiber,Fiber,,0.802,0.64,1.75,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_32,blue,Blue,fiber,Fiber,,1.398,0.539,0,plastic,0.72696594,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,,alkyd varnish
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_33,pink,Red,fragment,Non-Fiber,,1.207,0.59,0,plastic,0.950389959,TRUE,poly(propylene),poly(propylene),pp
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_34,black,Black,fragment,Non-Fiber,,0.607,0.518,0,not plastic,0.929411766,TRUE,mineral,,acronal
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_35,black,Black,fiber,Fiber,,1.206,0.17,1.303,plastic,0.769255329,TRUE,acrylonitrile butadiene styrene (abs),,abs
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_36,black,Black,fiber,Fiber,,0.877,0.192,1.318,plastic,0.59064953,FALSE,Unknown,poly(ethylene terephthalate),(07) pet
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_37,blue,Blue,fiber,Fiber,,1.281,0.198,1.399,plastic,0.881157285,TRUE,polyacrylonitriles (nitriles),,pan
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_38,silver,,not plastic,,from core barrel,1.422,0.336,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_39,black,Black,fiber,Fiber,,0.878,0.689,2.428,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_4,black,Black,fiber,Fiber,,1.056,0.914,2.361,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_40,black,Black,fiber,Fiber,,1.326,0.259,1.665,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_41,black,Black,fiber,Fiber,,0.888,0.298,1.716,plastic,0.823743769,TRUE,acrylonitrile butadiene styrene (abs),,abs
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_42,black,Black,fiber,Fiber,,1.494,0.779,2.599,plastic,0.900241952,TRUE,polyacrylonitriles (nitriles),poly(acrylonitrile),*acrylic 8. orange fiber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_43,silver,,not plastic,,core barrel,1.988,0.55,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_44,silver,,not plastic,,core barrel,1.164,0.861,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_45,black,Black,fiber,Fiber,,1.642,0.457,2.066,plastic,0.709315495,TRUE,polyhydroxy(meth)acrylates,poly(2-hydroxyethyl methacrylate),poly(2_hydroxyethyl_methacrylate)
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_46,gray,Black,fiber,Fiber,,0.78,0.378,1.405,plastic,0.716396784,TRUE,poly(acrylamide/amid)s,nylon 6 - poly(caprolactam),fibre_polyamide_6_(not)stretched
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_47,black,Black,fiber,Fiber,,1.76,0.501,2.272,plastic,0.705536121,TRUE,polyacrylonitriles (nitriles),,pan
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_48,black,Black,fiber,Fiber,,1.231,0.408,1.902,plastic,0.808767891,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,,pes
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_49,black,Black,TRWP,Non-Fiber,,1.23,0.534,0,not plastic,0.820359782,TRUE,mineral,,manot control cave wall 1a 3hr 400c 2 grind 3
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_5,black,Black,fragment,Non-Fiber,,0.463,0.35,1.433,plastic,0.79338145,TRUE,poly(propylene),poly(propylene),polypropylen
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_50,green,Green,fragment,Non-Fiber,,0.925,0.66,0,plastic,0.774111266,TRUE,poly(propylene),,rubber
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_51,black,Black,TRWP,Non-Fiber,,0.911,0.572,0,plastic,0.918367054,TRUE,poly(propylene),poly(propylene),pp 33. clear film
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_52,white,White,fragment,Non-Fiber,,0.989,0.497,0,not plastic,0.944665869,TRUE,mineral,,soil
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_53,black,Black,fiber,Fiber,,1.516,0.454,3.591,plastic,0.885163348,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_54,gray,Black,fiber,Fiber,,1.083,0.305,1.318,plastic,0.725443065,TRUE,poly(propylene),poly(propylene),polypropylen
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_55,blue,Blue,fragment,Non-Fiber,,0.515,0.348,0,plastic,0.899730776,TRUE,ethylene-vinyl acetate,,eva
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_56,blue,Blue,fiber,Fiber,,1.587,0.178,1.779,plastic,0.831136455,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_57,black,Black,fragment,Non-Fiber,,0.741,0.33,0,plastic,0.929336539,TRUE,polyvinylesters,poly(vinyl acetate),pva
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_58,white,White,fragment,Non-Fiber,,0.695,0.438,0,plastic,0.881193833,TRUE,poly(propylene),poly(propylene),polypropylene
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_6,black,Black,TRWP,Non-Fiber,,0.912,0.581,1.433,plastic,0.714244683,TRUE,polymethacrylates,poly(methyl methacrylate),pmma
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_7,black,Black,fiber,Fiber,,1.452,0.416,1.88,plastic,0.766613587,TRUE,"polystyrenes (polyphenylethylenes, -methylstyrene)",polystyrene,ps/eps
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_8,black,Black,fiber,Fiber,,1.188,0.169,1.322,plastic,0.878975259,TRUE,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),pet.1
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_A_9,silver,,not plastic,,from core barrel,0.814,0.601,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_1,black,Black,fiber,Fiber,,1.135,0.688,3.075,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_10,black,Black,fiber,Fiber,,0.827,0.284,1.212,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_11,blue,Blue,fiber,Fiber,,1.623,0.9,2.713,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_12,blue,Blue,fiber,Fiber,,0.757,0.326,1.092,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_13,blue,Blue,fiber,Fiber,,1.031,0.345,1.42,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_14,blue,Blue,fiber,Fiber,,1.707,0.686,4.075,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_15,black,Black,fiber,Fiber,,1.156,0.627,2.312,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_16,black,Black,fiber,Fiber,,1.819,0.266,2.001,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_17,gray,Black,fiber,Fiber,,0.799,0.202,1.072,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_18,blue,Blue,fiber,Fiber,,0.687,0.504,1.635,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_19,red,Red,fiber,Fiber,,1.909,0.387,2.552,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_2,blue,Blue,fiber,Fiber,,1.164,0.393,1.633,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_20,blue,Blue,fiber,Fiber,,0.886,0.376,1.333,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_21,black,Black,fiber,Fiber,,1.569,0.457,2.259,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_22,black,,not plastic,,,1.461,0.117,0,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_23,black,Black,fiber,Fiber,,2.113,0.403,2.564,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_24,red,,not plastic,,,1.156,0.183,1.259,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_25,black,Black,fiber,Fiber,,1.248,0.458,1.838,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_26,black,Black,fragment,Non-Fiber,,1.02,0.363,0,not plastic,0.831028354,TRUE,organic matter,,honeycomb_freshly_removed
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_27,black,Black,fiber,Fiber,,1.732,0.744,3.426,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_28,blue,Blue,fiber,Fiber,,0.754,0.252,1.543,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_29,blue,Blue,fiber,Fiber,,1.7,0.544,2.489,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_3,black,Black,fiber,Fiber,,1.325,0.47,1.767,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_30,gray,Black,fiber,Fiber,,1.221,0.573,6.035,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_31,gray,Black,fiber,Fiber,,1.458,0.692,2.18,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_32,gray,Black,fiber,Fiber,,1.021,0.35,1.593,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_33,gray,Black,fiber,Fiber,,0.668,0.522,2.122,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_34,clear,Transparent,fiber,Fiber,,0.593,0.327,1.867,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_35,blue,Blue,fiber,Fiber,,0.93,0.589,2.751,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_36,blue,Blue,fiber,Fiber,,0.963,0.27,1.394,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_37,gray,Black,fiber,Fiber,pulling apart,0.951,0.51,2.92,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_38,clear,Transparent,fiber,Fiber,,0.748,0.305,1.1,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_4,blue,Blue,fiber,Fiber,,0.503,0.386,1.68,,,,,,
Upper Newport Bay,UNB-1,UNB-1-00-05,0-5cm,250um,UNB-1-00-05-250um_B_5,black,Black,fragment,Non-Fiber,TW?,0.725,0.516,0,plastic,0.847512944,TRUE,poly(propylene),,plastic
