Site,Location,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_B_6,gray,Black,fragment,Non-Fiber,,0.693,0.388,2.236,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_B_7,blue,Blue,fiber,Fiber,,0.619,0.28,1.792,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_B_8,black,Black,fragment,Non-Fiber,,0.776,0.448,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_B_9,white,White,foam,Non-Fiber,flat,0.697,0.568,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_1,blue,Blue,fiber,Fiber,,1.228,0.535,1.886,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_10,gray,Black,fiber,Fiber,,0.848,0.099,1.691,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_11,orange,Yellow,fragment,Non-Fiber,,1.054,0.45,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_12,clear,Transparent,fragment,Non-Fiber,,0.439,0.303,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_13,yellow,Yellow,fiber,Fiber,,0.511,0.217,1.166,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_14,green,Green,fragment,Non-Fiber,,0.474,0.187,0,,,,,,
Upper Newport Bay,UNB-3,UNB-3-05-10,05-10cm,250um,UNB-3-05-10-250um_C_15,white,,not plastic,,brittle,0.581,0.245,0,,,,,,
