Site,Location,Lat,Long,Sample,Sub ww,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP,Perc_VCOARSESAND,Perc_COARSESAND,Perc_MSAND,Perc_FSAND,Perc_VFSAND,Perc_VCOARSESILT,Perc_COARSESILT,Perc_MEDIUMSILT,Perc_FSILT,Perc_VFSILT,Perc_CLAY,GRAVEL_Perc,SAND_Perc,MUD_Perc,Av_ DryBD_gcc-1,StdDev_DryBD_gcc-1
Lower Harbor,SUB-4-10,-117.9138833,33.60883333,SUB-4-10-S2,400,128.91,0.008771781,0.000316943,0.016411606,0.008640302,0.000211714,0.0162123,0.000131479,0.00010523,0.000199306,0.000122149,9.78E-05,0.000185176,0.00000933,0.00000747,0.00001413,0.000364332,6.14E-06,0.00110355,0.00122759,2.05E-05,0.00236821,0.00686738,0.000182418,0.01238154,,,,,,,0.000181,0.00000268,0.000359,6.80E-05,2.46E-06,0.000127311,6.70E-05,1.64E-06,0.000125764,1.02E-06,8.16E-07,1.55E-06,9.48E-07,7.58E-07,1.44E-06,7.24E-08,5.79E-08,1.10E-07,2.83E-06,4.76E-08,8.56E-06,9.52E-06,1.59E-07,1.84E-05,5.33E-05,1.42E-06,9.60E-05,0,0,0,0,0,0,1.40E-06,2.08E-08,2.78E-06,0.985011151,0.014988849,0.013925211,0.001063638,0.041534553,0.139947636,0.782894612,0,0,0.02063435,0,0,0.000650112,0.005485444,0.043845002,0.146864811,0.218819769,0.185939568,0.150868677,0.113799373,0.133727244,0,0.049980558,0.950019442,0.418457333,0.019983568
Lower Harbor,SUB-4-11,-117.9066333,33.6084,SUB-4-11-S1,200,87.7,0.008788091,0.000334617,0.018273832,0.00865078,0.000224688,0.0180657,0.000137311,0.00010993,0.000208132,0.000134201,0.00010744,0.000203422,0.00000311,0.00000249,0.00000471,0.00029278,0.000005013,0.0008341,0.00053666,1.97E-05,0.001149,0.00782134,0.000200013,0.0160826,,,,,,,,,,0.000100206,3.82E-06,0.000208368,9.86E-05,2.56E-06,0.000205994,1.57E-06,1.25E-06,2.37E-06,1.53E-06,1.23E-06,2.32E-06,3.55E-08,2.84E-08,5.37E-08,3.34E-06,5.72E-08,9.51E-06,6.12E-06,2.24E-07,1.31E-05,8.92E-05,2.28E-06,0.000183382,0,0,0,0,0,0,0,0,0,0.984375299,0.015624701,0.015270813,0.000353888,0.033315539,0.06106673,0.88999303,0,0,0,0,0,0.000338803,0.047590698,0.180421452,0.243140934,0.179782655,0.115435154,0.088599398,0.06245374,0.082237166,0,0.228350953,0.771649047,0.608134,0.015645383
Lower Harbor,SUB-4-2,-117.9070598,33.6108781,SUB-4-2-S1,200,84.42,0.012149707,0.000362903,0.026139758,0.01204976,0.000282912,0.02598833,9.99E-05,8.00E-05,0.000151428,9.37E-05,7.50E-05,0.000142008,0.00000622,0.00000498,0.00000942,0.00089702,0.000014687,0.00308048,0.0002944,0.000008297,0.0005898,0.00963699,0.000225141,0.01981365,,,,,,,0.00122135,0.000034787,0.0025044,0.00014392,4.30E-06,0.000309639,0.000142736,3.35E-06,0.000307846,1.18E-06,9.48E-07,1.79E-06,1.11E-06,8.89E-07,1.68E-06,7.37E-08,5.90E-08,1.12E-07,1.06E-05,1.74E-07,3.65E-05,3.49E-06,9.83E-08,6.99E-06,0.000114155,2.67E-06,0.000234703,0,0,0,0,0,0,1.45E-05,4.12E-07,2.97E-05,0.991773678,0.008226322,0.007714375,0.000511946,0.073830585,0.024231036,0.793187003,0,0,0.100525055,0,0,0.006280538,0.045789426,0.150493901,0.206503072,0.179766652,0.128787569,0.101118867,0.080865186,0.10039479,0,0.202563865,0.797436135,0.543657333,0.048078489
Lower Harbor,SUB-4-4,-117.900098,33.6053724,SUB-4-4-S1,200,129.47,0.067553569,0.001956807,0.132703241,0.06749161,0.00190723,0.13260935,0.000061959,0.000049577,0.000093891,0.000055739,0.000044597,0.000084471,0.00000622,0.00000498,0.00000942,0.00030638,5.28E-06,0.0008289,0.00129982,2.23E-05,0.00278274,0.05754201,0.001641041,0.11177211,,,,,,,0.0083434,0.000238639,0.0172256,0.00052177,1.51E-05,0.001024973,0.000521291,1.47E-05,0.001024248,4.79E-07,3.83E-07,7.25E-07,4.31E-07,3.44E-07,6.52E-07,4.80E-08,3.85E-08,7.28E-08,2.37E-06,4.08E-08,6.40E-06,1.00E-05,1.72E-07,2.15E-05,0.000444443,1.27E-05,0.000863305,0,0,0,0,0,0,6.44E-05,1.84E-06,0.000133047,0.999082817,0.000917183,0.000825108,9.21E-05,0.004535364,0.019241322,0.851798223,0,0,0.123507908,0.001591871,0.006680961,0.061863042,0.405776298,0.321233456,0.091383796,0.037448293,0.022357885,0.016910938,0.013295804,0.021457657,0,0.797145628,0.202854372,1.067084667,0.021080497
Lower Harbor,SUB-4-5,-117.8886018,33.6092047,SUB-4-5-S1,200,136.11,0.034528856,0.000873635,0.063282979,0.034456744,0.000815903,0.06317363,7.21E-05,5.77E-05,0.000109349,6.90E-05,5.52E-05,0.000104639,0.00000311,0.00000249,0.00000471,0.00008218,0.000001429,0.0002126,0.000967564,2.16E-05,0.00237883,0.0314462,0.000743353,0.056332,,,,,,,0.0019608,0.00004949,0.0042502,0.000253683,6.42E-06,0.00046494,0.000253154,5.99E-06,0.000464137,5.30E-07,4.24E-07,8.03E-07,5.07E-07,4.06E-07,7.69E-07,2.28E-08,1.83E-08,3.46E-08,6.04E-07,1.05E-08,1.56E-06,7.11E-06,1.59E-07,1.75E-05,0.000231035,5.46E-06,0.000413871,0,0,0,0,0,0,1.44E-05,3.64E-07,3.12E-05,0.997911535,0.002088465,0.001998395,9.01E-05,0.002380038,0.028021895,0.910722317,0,0,0.056787285,0.014706971,0.049830109,0.232687052,0.342770982,0.148272906,0.075131543,0.046424019,0.028464882,0.021284481,0.015784904,0.02464215,0,0.78826802,0.21173198,1.135228,0.029326111
Lower Harbor,SUB-4-7,-117.9162833,33.6152,SUB-4-7-S1,200,72.32,0.004804461,0.00018747,0.009033871,0.00470154,0.000105069,0.0088778,0.000102921,8.24E-05,0.000156071,0.000099811,7.99E-05,0.000151361,0.00000311,0.00000249,0.00000471,0.00020255,0.000003467,0.0005569,0.0000423,0.000000431,0.000103,0.00370969,0.000090171,0.0070079,,,,,,,0.000747,0.000011,0.00121,6.64E-05,2.59E-06,0.000124915,6.50E-05,1.45E-06,0.000122757,1.42E-06,1.14E-06,2.16E-06,1.38E-06,1.10E-06,2.09E-06,4.30E-08,3.44E-08,6.51E-08,2.80E-06,4.79E-08,7.70E-06,5.85E-07,5.96E-09,1.42E-06,5.13E-05,1.25E-06,9.69E-05,0,0,0,0,0,0,1.03E-05,1.52E-07,1.67E-05,0.978578034,0.021421966,0.020774651,0.000647315,0.042158735,0.008804317,0.772134481,0,0,0.1554805,0,0,0.001594441,0.018767834,0.042424717,0.140616238,0.214446014,0.185858727,0.150671699,0.114247311,0.131373019,0,0.062786992,0.937213008,0.450904667,0.014718183
Lower Harbor,SUB-4-7,-117.9162833,33.6152,SUB-4-7-S2,400,144.64,0.006319019,0.000334632,0.014897806,0.00616356,0.000210157,0.01466218,0.000155459,0.000124475,0.000235626,0.000152349,0.000121985,0.000230916,0.00000311,0.00000249,0.00000471,0.00029144,4.94E-06,0.00086886,0.00015526,2.56E-06,0.00030354,0.00559206,0.000155768,0.01325578,,,,0.0000739,0.0000436,0.000108,0.0000509,0.00000329,0.000126,4.37E-05,2.31E-06,0.000102999,4.26E-05,1.45E-06,0.00010137,1.07E-06,8.61E-07,1.63E-06,1.05E-06,8.43E-07,1.60E-06,2.15E-08,1.72E-08,3.26E-08,2.01E-06,3.42E-08,6.01E-06,1.07E-06,1.77E-08,2.10E-06,3.87E-05,1.08E-06,9.16E-05,0,0,0,5.11E-07,3.01E-07,7.47E-07,3.52E-07,2.27E-08,8.71E-07,0.975398285,0.024601715,0.02410955,0.000492165,0.046121085,0.024570271,0.884957027,0,0.011694854,0.008055048,0,0,0.001594441,0.018767834,0.042424717,0.140616238,0.214446014,0.185858727,0.150671699,0.114247311,0.131373019,0,0.062786992,0.937213008,0.450904667,0.014718183
Lower Harbor,SUB-4-9,-117.9243,33.61775,SUB-4-9-S1,200,58.11,0.006348662,0.000204828,0.013298325,0.00624159,0.000119136,0.01313604,0.000107072,8.57E-05,0.000162285,0.000091522,7.32E-05,0.000138735,0.00001555,0.00001245,0.00002355,0.00117664,0.000020066,0.0034275,0.0035073,0.000057813,0.0062519,0.00143585,3.83E-05,0.00319894,,,,,,,0.0001218,0.000002908,0.0002577,0.000109252,3.52E-06,0.000228847,0.00010741,2.05E-06,0.000226055,1.84E-06,1.47E-06,2.79E-06,1.57E-06,1.26E-06,2.39E-06,2.68E-07,2.14E-07,4.05E-07,2.02E-05,3.45E-07,5.90E-05,6.04E-05,9.95E-07,0.000107587,2.47E-05,6.60E-07,5.50E-05,0,0,0,0,0,0,2.10E-06,5.00E-08,4.43E-06,0.983134714,0.016865286,0.014415951,0.002449335,0.18533669,0.552447114,0.226165765,0,0,0.019185145,0,0,0.000696103,0.018484594,0.019631886,0.071311509,0.163311757,0.2085138,0.201481992,0.145917039,0.170651319,0,0.038812584,0.961187416,0.360238667,0.009262323
Lower Harbor,SUB-4-9,-117.9243,33.61775,SUB-4-9-S2,200,58.11,0.006137104,0.000213976,0.011932718,0.006047489,0.000142255,0.01179689,8.96E-05,7.17E-05,0.000135828,8.96E-05,7.17E-05,0.000135828,,,,0.000104336,1.78E-06,0.000305,0.000017273,1.29E-07,0.00004454,0.00592588,0.000140349,0.01144735,,,,,,,,,,0.000105612,3.68E-06,0.000205347,0.00010407,2.45E-06,0.00020301,1.54E-06,1.23E-06,2.34E-06,1.54E-06,1.23E-06,2.34E-06,0,0,0,1.80E-06,3.06E-08,5.25E-06,2.97E-07,2.22E-09,7.66E-07,0.000101977,2.42E-06,0.000196994,0,0,0,0,0,0,0,0,0,0.98539782,0.01460218,0.01460218,0,0.017000852,0.00281452,0.965582448,0,0,0,0,0,0.000696103,0.018484594,0.019631886,0.071311509,0.163311757,0.2085138,0.201481992,0.145917039,0.170651319,0,0.038812584,0.961187416,0.360238667,0.009262323
Upper Bay Saltmarsh,UNB-1,-117.8813548,33.6516696,UNB-1-00-05,912.0734624,295.7489409,0.081010724,0.001578014,0.16238649,0.080922099,0.001507309,0.162252983,8.86E-05,7.07E-05,0.000133507,8.86E-05,7.07E-05,0.000133507,,,,0.000102,0.00000163,0.000374,0.0114267,0.000154776,0.020435,0.068004399,0.001325463,0.138765983,,,,,,,0.001389,0.00002544,0.002678,0.000273917,5.34E-06,0.000549069,0.000273618,5.10E-06,0.000548617,3.00E-07,2.39E-07,4.51E-07,3.00E-07,2.39E-07,4.51E-07,0,0,0,3.45E-07,5.51E-09,1.26E-06,3.86E-05,5.23E-07,6.91E-05,0.00022994,4.48E-06,0.000469202,0,0,0,0,0,0,4.70E-06,8.60E-08,9.05E-06,0.998906012,0.001093988,0.001093988,0,0.001259093,0.141051696,0.839449346,0,0,0.017145878,,,,,,,,,,,,,,,,
Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,UNB-2-00-05,912.0734624,211.7524475,0.284522059,0.006580918,0.496253939,0.284386996,0.006473313,0.49605025,0.000135063,0.000107605,0.000203688,0.000131088,0.000104438,0.000197692,3.98E-06,3.17E-06,6.00E-06,0.001635322,2.78E-05,0.004574221,0.003663812,8.56E-05,0.007872959,0.279032562,0.006359117,0.483526371,,,,,,,0.0000553,0.000000818,0.0000767,0.001343654,3.11E-05,0.002343557,0.001343016,3.06E-05,0.002342595,6.38E-07,5.08E-07,9.62E-07,6.19E-07,4.93E-07,9.34E-07,1.88E-08,1.50E-08,2.83E-08,7.72E-06,1.31E-07,2.16E-05,1.73E-05,4.04E-07,3.72E-05,0.00131773,3.00E-05,0.002283451,0,0,0,0,0,0,2.61E-07,3.86E-09,3.62E-07,0.999525298,0.000474702,0.000460731,1.40E-05,0.005747609,0.012877075,0.980706253,0,0,0.000194361,,,,,,,,,,,,,,,,
Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,UNB-3-00-05,912.0734624,321.909032,0.177334779,0.003956003,0.312714759,0.177122137,0.003786466,0.312394265,0.000212642,0.000169538,0.000320494,0.000208667,0.000166371,0.000314498,3.98E-06,3.17E-06,6.00E-06,0.004330142,7.45E-05,0.011338458,0.029547191,0.000508374,0.050052431,0.143181004,0.003202326,0.250882276,,,,,,,0.0000638,0.00000131,0.0001211,0.000550885,1.23E-05,0.000971438,0.000550224,1.18E-05,0.000970443,6.61E-07,5.27E-07,9.96E-07,6.48E-07,5.17E-07,9.77E-07,1.23E-08,9.84E-09,1.86E-08,1.35E-05,2.31E-07,3.52E-05,9.18E-05,1.58E-06,0.000155486,0.000444787,9.95E-06,0.000779358,0,0,0,0,0,0,1.98E-07,4.07E-09,3.76E-07,0.9988009,0.0011991,0.001176684,2.24E-05,0.024417896,0.166618138,0.807405095,0,0,0.000359772,,,,,,,,,,,,,,,,
