,Site,Location,Lat,Long,Depth,Sample,Sub vol cc,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP
11,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,05-10cm,UNB-2-05-10,912.0734624,356.6207238,279.5290158,5.920015384,488.5768379,279.3260971,5.758317103,488.2706582,0.202918665,0.161698281,0.306179734,0.202918665,0.161698281,0.306179734,,,,2.097430167,0.036711323,4.857686683,100.4214168,1.724597004,167.5202929,175.9038701,3.969040776,313.9014786,,,,,,,0.90338,2.80E-02,1.9912,0.783827179,0.016600312,1.370018076,0.783258174,0.016146894,1.369159518,5.69E-04,4.53E-04,0.000858558,5.69E-04,4.53E-04,0.000858558,0.00E+00,0.00E+00,0,5.88E-03,1.03E-04,0.013621437,2.82E-01,4.84E-03,0.469743573,4.93E-01,1.11E-02,0.880210985,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,2.53E-03,7.84E-05,0.005583523,0.999274069,7.26E-04,7.26E-04,0,0.007503443,0.35925221,0.629286622,0,0,0.003231793
12,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,10-15cm,UNB-2-10-15,912.0734624,575.8576461,65.41496699,20.27688686,110.397388,65.27928127,20.16866896,110.1929652,0.13568572,0.108217901,0.204422819,0.13568572,0.108217901,0.204422819,,,,0.647371493,0.011179714,1.645088024,10.13134514,0.155114224,19.69364377,12.62828964,0.338775023,25.39280841,41.872275,19.6636,63.461425,,,,,,,0.113595725,0.035211631,0.191709511,0.113360102,0.035023706,0.191354523,2.36E-04,1.88E-04,0.000354988,2.36E-04,1.88E-04,0.000354988,0.00E+00,0.00E+00,0,1.12E-03,1.94E-05,0.002856762,1.76E-02,2.69E-04,0.034198806,2.19E-02,5.88E-04,0.044095635,7.27E-02,3.41E-02,0.110203321,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.997925769,2.07E-03,2.07E-03,0,0.009896382,0.15487809,0.193048934,0.640102364,0,0
13,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,15-20cm,UNB-2-15-20,912.0734624,669.0387193,16.35043055,0.33077113,35.01137311,16.29755764,0.288727374,34.93145867,5.29E-02,4.20E-02,7.99E-02,5.29E-02,4.20E-02,7.99E-02,,,,,,,3.4825,0.0250309,9.6305,12.81505764,0.263696474,25.30095867,,,,,,,,,,0.024438691,0.000494398,0.052330862,0.024359663,0.000431556,0.052211416,7.90E-05,6.28E-05,0.000119447,7.90E-05,6.28E-05,0.000119447,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,5.21E-03,3.74E-05,0.014394533,1.92E-02,3.94E-04,0.037816883,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.996766268,3.23E-03,3.23E-03,0,0,0.212991333,0.783774935,0,0,0
14,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,20-25cm,UNB-2-20-25,912.0734624,717.6704763,61.6959441,1.240614309,102.0250791,61.66432645,1.215445152,101.9773874,3.16E-02,2.52E-02,4.77E-02,3.16E-02,2.52E-02,4.77E-02,,,,5.77E-02,9.27E-04,0.212,41.84293809,0.715927005,61.40547571,19.76368836,0.498591147,40.35991167,,,,,,,,,,0.085966953,0.001728668,0.142161455,0.085922897,0.001693598,0.142095001,4.41E-05,3.51E-05,6.64535E-05,4.41E-05,3.51E-05,6.64535E-05,0.00E+00,0.00E+00,0,8.04E-05,1.29E-06,0.0002954,5.83E-02,9.98E-04,0.085562215,2.75E-02,6.95E-04,0.056237386,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.999487525,5.12E-04,5.12E-04,0,0.000935232,0.678212137,0.320340156,0,0,0
15,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,25-30cm,UNB-2-25-30,912.0734624,1128.659899,89.4426758,1.837539216,165.0556938,89.33158383,1.749250365,164.887734,0.11109197,8.83E-02,0.167959888,0.11109197,8.83E-02,0.167959888,,,,,,,2.888933719,0.053213612,7.072236273,69.22265011,1.380136753,127.4284977,,,,,,,17.22,0.3159,30.387,0.079246792,0.001628072,0.146240417,0.079148363,0.001549847,0.146091603,9.84E-05,7.82E-05,0.000148814,9.84E-05,7.82E-05,0.000148814,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,2.56E-03,4.71E-05,0.006266047,6.13E-02,1.22E-03,0.112902476,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.53E-02,2.80E-04,0.026923079,0.998757953,1.24E-03,1.24E-03,0,0,0.032299277,0.773933131,0,0,0.192525546
16,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,30-35cm,UNB-2-30-35,912.0734624,997.9086959,12.7896592,0.354333977,25.77021697,12.75388747,0.325845009,25.71626997,3.58E-02,2.85E-02,5.39E-02,3.58E-02,2.85E-02,5.39E-02,,,,0.353920451,0.006100567,0.906175164,1.807677461,0.028656191,3.482009073,2.228289559,0.088588251,5.49808573,,,,,,,8.364,0.2025,15.83,0.012816462,0.000355077,0.025824223,0.012780616,0.000326528,0.025770163,3.58E-05,2.85E-05,5.40601E-05,3.58E-05,2.85E-05,5.40601E-05,0.00E+00,0.00E+00,0,3.55E-04,6.11E-06,0.000908074,1.81E-03,2.87E-05,0.003489306,2.23E-03,8.88E-05,0.005509608,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,8.38E-03,2.03E-04,0.015863175,0.997203074,2.80E-03,2.80E-03,0,0.027672391,0.141338986,0.174225875,0,0,0.653965823
17,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,35-40cm,UNB-2-35-40,912.0734624,1093.390018,0.529152626,3.42E-02,1.301540623,0.497023755,8.60E-03,1.253179316,3.21E-02,2.56E-02,4.84E-02,3.21E-02,2.56E-02,4.84E-02,,,,0.497023755,8.60E-03,1.253179316,,,,,,,,,,,,,,,,0.000483956,3.13016E-05,0.001190372,0.000454571,7.86563E-06,0.001146141,2.94E-05,2.34E-05,4.42306E-05,2.94E-05,2.34E-05,4.42306E-05,0.00E+00,0.00E+00,0,4.55E-04,7.87E-06,0.001146141,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.939282412,6.07E-02,6.07E-02,0,0.939282412,0,0,0,0,0
18,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,40-45cm,UNB-2-40-45,912.0734624,1093.979218,11.08494966,0.183354349,21.96861457,11.06528888,0.167651468,21.9390431,1.97E-02,1.57E-02,2.96E-02,1.97E-02,1.57E-02,2.96E-02,,,,8.20E-02,1.41E-03,2.10E-01,1.27E-03,4.78E-05,3.05E-03,2.428,3.98E-02,5.626,,,,,,,8.554,0.1264,16.1,0.010132688,0.000167603,0.020081382,0.010114716,0.000153249,0.020054351,1.80E-05,1.44E-05,2.70311E-05,1.80E-05,1.44E-05,2.70311E-05,0.00E+00,0.00E+00,0,7.50E-05,1.29E-06,0.000191953,1.16E-06,4.37E-08,2.78842E-06,2.22E-03,3.64E-05,0.005142694,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,7.82E-03,1.16E-04,0.014716916,0.998226354,1.77E-03,1.77E-03,0,0.007398843,0.000114847,0.219035726,0,0,0.771676937
19,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,45-50cm,UNB-2-45-50,912.0734624,1086.126265,1.96E-02,1.57E-02,2.94E-02,,,,1.96E-02,1.57E-02,2.94E-02,1.96E-02,1.57E-02,2.94E-02,,,,,,,,,,,,,,,,,,,,,,1.80229E-05,1.44246E-05,2.70924E-05,0,0,0,1.80E-05,1.44E-05,2.70924E-05,1.80E-05,1.44E-05,2.70924E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0,1.00E+00,1.00E+00,0,0,0,0,0,0,0
20,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,50-55cm,UNB-2-50-55,912.0734624,1264.257861,22.47244848,0.484527987,41.72725361,22.461,0.4754,41.71,1.14E-02,9.13E-03,1.73E-02,1.14E-02,9.13E-03,1.73E-02,,,,,,,,,,,,,,,,,,,22.461,0.4754,41.71,0.01777521,0.000383251,0.033005335,0.017766154,0.000376031,0.032991687,9.06E-06,7.22E-06,1.36472E-05,9.06E-06,7.22E-06,1.36472E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.78E-02,3.76E-04,0.032991687,0.999490555,5.09E-04,5.09E-04,0,0,0,0,0,0,0.999490555
