,Site,Location,Lat,Long,Depth,Sample,Sub vol cc,Sub dw,Av_Total_gram,Min_Total_gram,Max_Total_gram,Av_Total_NF,Min_Total_NF,Max_Total_NF,Av_Total_F,Min_Total_F,Max_Total_F,Av_Total_fiber,Min_Total_fiber,Max_Total_fiber,Av_Total_fiberbun,Min_Total_fiberbun,Max_Total_fiberbun,Av_Total_film,Min_Total_film,Max_Total_film,Av_Total_foam,Min_Total_foam,Max_Total_foam,Av_Total_fragment,Min_Total_fragment,Max_Total_fragment,Av_Total_pellet,Min_Total_pellet,Max_Total_pellet,Av_Total_sphere,Min_Total_sphere,Max_Total_sphere,Av_Total_TRWP,Min_Total_TRWP,Max_Total_TRWP,Av_Conc_Total,Min_Conc_Total,Max_Conc_Total,Av_Conc_NonFiber,Min_Conc_NonFiber,Max_Conc_NonFiber,Av_Conc_Fiber,Min_Conc_Fiber,Max_Conc_Fiber,Av_Conc_fiber,Min_Conc_fiber,Max_Conc_fiber,Av_Conc_fiberbun,Min_Conc_fiberbun,Max_Conc_fiberbun,Av_Conc_film,Min_Conc_film,Max_Conc_film,Av_Conc_foam,Min_Conc_foam,Max_Conc_foam,Av_Conc_fragment,Min_Conc_fragment,Max_Conc_fragment,Av_Conc_pellet,Min_Conc_pellet,Max_Conc_pellet,Av_Conc_sphere,Min_Conc_sphere,Max_Conc_sphere,Av_Conc_TRWP,Min_Conc_TRWP,Max_Conc_TRWP,Perc_NF,Perc_F,Perc_fiber,Perc_fiberbun,Perc_film,Perc_foam,Perc_fragment,Perc_pellet,Perc_sphere,Perc_TRWP
21,Upper Bay Saltmarsh,UNB-2,-117.8819151,33.6502887,60-65cm,UNB-2-60-65,912.0734624,1075.887329,0.371611327,2.63E-02,0.921047271,0.353,1.15E-02,0.893,1.86E-02,1.48E-02,2.80E-02,1.86E-02,1.48E-02,2.80E-02,,,,,,,,,,,,,,,,,,,0.353,1.15E-02,0.893,0.0003454,2.44786E-05,0.000856082,0.000328101,1.06889E-05,0.000830013,1.73E-05,1.38E-05,2.6069E-05,1.73E-05,1.38E-05,2.6069E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,3.28E-04,1.07E-05,0.000830013,0.949917223,5.01E-02,5.01E-02,0,0,0,0,0,0,0.949917223
22,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,0-5cm,UNB-3-00-05,912.0734624,321.909032,177.2316497,3.955443322,312.8871535,177.0167354,3.78409596,312.5632361,0.214914261,0.171347361,0.323917377,0.20866705,0.166370551,0.314497644,6.25E-03,4.98E-03,9.42E-03,4.327336764,0.074415177,11.32789439,29.61493264,0.510105463,50.16510881,143.010666,3.198265319,250.9491329,,,,,,,6.38E-02,1.31E-03,0.1211,0.55056439,0.012287457,0.971973826,0.549896765,0.011755172,0.970967587,6.68E-04,5.32E-04,0.001006239,6.48E-04,5.17E-04,0.000976977,1.94E-05,1.55E-05,2.92621E-05,1.34E-02,2.31E-04,0.035189738,9.20E-02,1.58E-03,0.155836289,4.44E-01,9.94E-03,0.779565368,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.98E-04,4.07E-06,0.000376193,0.998787382,1.21E-03,1.18E-03,3.52488E-05,0.024416275,0.167097314,0.806913812,0,0,0.000359981
23,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,05-10cm,UNB-3-05-10,912.0734624,317.7153182,483.8104861,27.12284602,941.8753278,483.7066926,27.04015303,941.718741,0.103793507,8.27E-02,0.156586767,0.103793507,8.27E-02,0.156586767,,,,101.8543312,1.759781009,252.5654156,64.35863301,1.221982479,106.8667443,280.1631284,6.706769543,535.0201811,36.5,17.3,45.3,,,,0.8306,5.16E-02,1.9664,1.522779855,0.085368393,2.96452602,1.522453168,0.085108119,2.964033168,3.27E-04,2.60E-04,0.000492852,3.27E-04,2.60E-04,0.000492852,0.00E+00,0.00E+00,0,3.21E-01,5.54E-03,0.79494252,2.03E-01,3.85E-03,0.336360063,8.82E-01,2.11E-02,1.683960925,1.15E-01,5.45E-02,0.142580472,0.00E+00,0.00E+00,0,2.61E-03,1.62E-04,0.006189189,0.999785467,2.15E-04,2.15E-04,0,0.210525266,0.133024469,0.579076181,0.075442763,0,0.001716788
24,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,10-15cm,UNB-3-10-15,912.0734624,680.4250444,461.1156212,57.25452507,871.6635887,460.9694015,57.13798131,871.4430805,0.146219697,0.116543759,0.220508146,0.139972486,0.111566949,0.211088413,6.25E-03,4.98E-03,9.42E-03,9.963694438,0.171777075,25.71487528,22.18774769,0.396524568,47.50827679,323.8055344,7.826517665,636.4597285,104.092125,48.72155,159.9194,,,,0.9203,2.16E-02,1.8408,0.677687609,0.084145235,1.281057474,0.677472714,0.083973954,1.2807334,2.15E-04,1.71E-04,0.000324074,2.06E-04,1.64E-04,0.00031023,9.18E-06,7.31E-06,1.38439E-05,1.46E-02,2.52E-04,0.03779237,3.26E-02,5.83E-04,0.06982147,4.76E-01,1.15E-02,0.935385512,1.53E-01,7.16E-02,0.23502868,0.00E+00,0.00E+00,0,1.35E-03,3.18E-05,0.002705368,0.9996829,3.17E-04,3.04E-04,1.3548E-05,0.021607801,0.048117536,0.702222001,0.22573975,0,0.001995812
25,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,15-20cm,UNB-3-15-20,912.0734624,440.9565086,248.8906766,49.50809216,421.6076834,248.7758389,49.41659618,421.4344156,0.114837706,9.15E-02,0.173267826,0.114837706,9.15E-02,0.173267826,,,,6.513420263,0.111925638,17.04415615,2.796924897,0.026004786,7.281820866,157.4370845,3.786362764,286.4415177,80.8666,45.4609,108.657925,1.42E-02,8.41E-03,2.09E-02,1.14756,2.30E-02,1.9881,0.564433616,0.11227432,0.956120786,0.564173187,0.112066826,0.955727849,2.60E-04,2.07E-04,0.000392936,2.60E-04,2.07E-04,0.000392936,0.00E+00,0.00E+00,0,1.48E-02,2.54E-04,0.038652692,6.34E-03,5.90E-05,0.016513694,3.57E-01,8.59E-03,0.649591314,1.83E-01,1.03E-01,0.246414154,3.23E-05,1.91E-05,4.73876E-05,2.60E-03,5.21E-05,0.004508608,0.999538602,4.61E-04,4.61E-04,0,0.026169804,0.011237564,0.632555171,0.324908113,5.72508E-05,0.004610699
26,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,20-25cm,UNB-3-20-25,912.0734624,719.3067361,106.1850827,3.433185517,221.5229343,105.9495764,3.2455648,221.1676406,0.235506211,0.187620717,0.355293717,0.229259001,0.182643907,0.345873984,6.25E-03,4.98E-03,9.42E-03,1.146890342,0.019920584,2.688272195,1.319309255,0.029480106,3.049752572,98.78265385,3.071585501,205.9620585,,,,1.05E-02,6.20E-03,1.54E-02,4.6902,0.118374,9.4522,0.147621421,0.004772909,0.307967273,0.147294014,0.004512073,0.307473334,3.27E-04,2.61E-04,0.000493939,3.19E-04,2.54E-04,0.000480844,8.69E-06,6.92E-06,1.30956E-05,1.59E-03,2.77E-05,0.00373731,1.83E-03,4.10E-05,0.00423985,1.37E-01,4.27E-03,0.286334116,0.00E+00,0.00E+00,0,1.46E-05,8.63E-06,2.13501E-05,6.52E-03,1.65E-04,0.013140708,0.997782116,2.22E-03,2.16E-03,5.88332E-05,0.010800861,0.01242462,0.930287488,0,9.91006E-05,0.044170046
27,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,25-30cm,UNB-3-25-30,912.0734624,491.7325503,75.77008621,2.192183571,126.6033931,75.5619656,2.026418216,126.2893258,0.208120614,0.165765355,0.314067365,0.208120614,0.165765355,0.314067365,,,,2.368097066,0.04093194,5.589916028,0.268245913,0.003951298,0.773291188,65.7454072,1.749398659,106.8781462,,,,0.191415417,0.112702319,0.276972335,6.9888,0.119434,12.771,0.154088002,0.004458081,0.257463926,0.153664763,0.004120976,0.256825231,4.23E-04,3.37E-04,0.000638695,4.23E-04,3.37E-04,0.000638695,0.00E+00,0.00E+00,0,4.82E-03,8.32E-05,0.011367797,5.46E-04,8.04E-06,0.001572585,1.34E-01,3.56E-03,0.217350155,0.00E+00,0.00E+00,0,3.89E-04,2.29E-04,0.000563258,1.42E-02,2.43E-04,0.025971435,0.997253261,2.75E-03,2.75E-03,0,0.03125372,0.003540261,0.867696085,0,0.002526266,0.092236928
28,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,30-35cm,UNB-3-30-35,912.0734624,752.8108427,93.37304181,2.78443963,167.5293034,93.26324106,2.696941534,167.3636814,0.109800751,8.75E-02,0.165622034,0.109800751,8.75E-02,0.165622034,,,,0.250174705,4.31E-03,0.640545364,1.31E-02,9.08E-05,3.48E-02,90.47546225,2.590079562,161.5489424,,,,0.113304105,6.68E-02,0.165393576,2.4112,3.57E-02,4.974,0.124032541,0.003698724,0.222538377,0.123886687,0.003582496,0.222318373,1.46E-04,1.16E-04,0.000220005,1.46E-04,1.16E-04,0.000220005,0.00E+00,0.00E+00,0,3.32E-04,5.73E-06,0.000850872,1.74E-05,1.21E-07,4.62268E-05,1.20E-01,3.44E-03,0.214594335,0.00E+00,0.00E+00,0,1.51E-04,8.87E-05,0.000219701,3.20E-03,4.74E-05,0.006607237,0.998824064,1.18E-03,1.18E-03,0,0.002679303,0.000140297,0.968967707,0,0.001213456,0.025823299
29,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,35-40cm,UNB-3-35-40,912.0734624,937.9362175,74.04761161,1.421533181,142.9032173,73.97720917,1.36542872,142.7970786,7.04E-02,5.61E-02,0.106138688,7.04E-02,5.61E-02,0.106138688,,,,0.961158488,1.66E-02,2.460942702,,,,71.92187435,1.32058159,138.19012,,,,2.12E-02,1.24E-02,3.00E-02,1.073,1.59E-02,2.116,0.078947385,0.001515597,0.152359206,0.078872324,0.00145578,0.152246044,7.51E-05,5.98E-05,0.000113162,7.51E-05,5.98E-05,0.000113162,0.00E+00,0.00E+00,0,1.02E-03,1.77E-05,0.002623785,0.00E+00,0.00E+00,0,7.67E-02,1.41E-03,0.14733424,0.00E+00,0.00E+00,0,2.26E-05,1.33E-05,3.2002E-05,1.14E-03,1.69E-05,0.002256017,0.999049227,9.51E-04,9.51E-04,0,0.012980277,0,0.971292291,0,0.000285983,0.014490677
30,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,40-45cm,UNB-3-40-45,912.0734624,817.8745152,9.251038898,0.185667209,19.1236599,9.221412827,0.162084157,19.07895151,2.96E-02,2.36E-02,4.47E-02,2.96E-02,2.36E-02,4.47E-02,,,,4.492628108,0.077670782,11.08396013,,,,2.344084719,0.044168375,3.927791381,,,,,,,2.3847,4.02E-02,4.0672,0.011311074,0.000227012,0.023382144,0.01127485,0.000198177,0.02332748,3.62E-05,2.88E-05,5.46641E-05,3.62E-05,2.88E-05,5.46641E-05,0.00E+00,0.00E+00,0,5.49E-03,9.50E-05,0.013552152,0.00E+00,0.00E+00,0,2.87E-03,5.40E-05,0.004802438,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,2.92E-03,4.92E-05,0.00497289,0.996797541,3.20E-03,3.20E-03,0,0.485634982,0,0.253386106,0,0,0.257776454
31,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,45-50cm,UNB-3-45-50,912.0734624,844.5307742,58.43162815,0.971372573,105.249978,58.39989816,0.946086971,105.2020965,3.17E-02,2.53E-02,4.79E-02,3.17E-02,2.53E-02,4.79E-02,,,,18.42797804,0.316146912,48.75670733,4.69E-02,3.25E-04,0.135,0.626214056,0.024190644,1.428940742,,,,4.01E-02,2.39E-02,6.22E-02,39.25873,0.58151,54.8192,0.069188276,0.001150192,0.124625391,0.069150705,0.001120252,0.124568695,3.76E-05,2.99E-05,5.6696E-05,3.76E-05,2.99E-05,5.6696E-05,0.00E+00,0.00E+00,0,2.18E-02,3.74E-04,0.057732304,5.55E-05,3.85E-07,0.000159852,7.41E-04,2.86E-05,0.001691994,0.00E+00,0.00E+00,0,4.75E-05,2.83E-05,7.37077E-05,4.65E-02,6.89E-04,0.064910838,0.999456972,5.43E-04,5.43E-04,0,0.315376768,0.000802647,0.010717039,0,0.000685862,0.671874655
32,Upper Bay Saltmarsh,UNB-3,-117.8847653,33.6483947,50-55cm,UNB-3-50-55,912.0734624,1116.585871,2.674197268,0.066189547,4.918622176,2.656529206,0.052106197,4.891953923,1.77E-02,1.41E-02,2.67E-02,1.77E-02,1.41E-02,2.67E-02,,,,,,,,,,1.060929206,0.018445197,1.762553923,,,,,,,1.5956,3.37E-02,3.1294,0.002394977,5.92785E-05,0.004405055,0.002379154,4.66656E-05,0.004381171,1.58E-05,1.26E-05,2.38837E-05,1.58E-05,1.26E-05,2.38837E-05,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,9.50E-04,1.65E-05,0.001578521,0.00E+00,0.00E+00,0,0.00E+00,0.00E+00,0,1.43E-03,3.01E-05,0.002802651,0.993393134,6.61E-03,6.61E-03,0,0,0,0.396728102,0,0,0.596665033
