Material,Morphology,Material (Raw Data),Morphology (Raw Data),Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min Length (microns),Length (microns),Max Length (microns),Min Width (microns),Width (microns),Max Width (microns),Min Height (Microns),Height (microns),Max Height (Microns),Polymer.Class..openspecy.,Polymer..openspecy.,Min Density (mg/microns3),Density (mg/microns3),Max Density (mg/microns3),Min Volume (microns3),Volume (microns3),Max Volume (microns3),Min Mass (mg),Mass (mg),Max Mass (mg)
Poly(2-hydroxyethyl methacrylate),fiber,poly(2-hydroxyethyl methacrylate),fiber,SUB-2-6_G-01-250-500um_S1_A_12,Basin II,SUB-2-6,SUB-2-6-S1,12,green,,Fiber,1.888,0.412,0,1.888,1793.6,1888,1982.4,15,16.7,20.4,15,16.7,20.4,polyhydroxy(meth)acrylates,poly(2-hydroxyethyl methacrylate),1.22E-09,1.25E-09,1.28E-09,3.34E+05,4.14E+05,6.17E+05,4.07E-04,5.17E-04,7.90E-04
PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_1,Basin II,SUB-2-6,SUB-2-6-S1,1,black,,Fiber,2.238,0.524,0,2.238,2126.1,2238,2349.9,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,3.95E+05,4.90E+05,7.31E+05,5.70E-04,7.11E-04,1.07E-03
PET,fiber,poly(ethylene terephthalate),fiber,SUB-2-6_G-01-250-500um_S1_A_20,Basin II,SUB-2-6,SUB-2-6-S1,20,black,,Fiber,2.11,0.379,0,2.11,2004.5,2110,2215.5,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(ethylene terephthalate),1.44E-09,1.45E-09,1.46E-09,3.73E+05,4.62E+05,6.90E+05,5.37E-04,6.70E-04,1.01E-03
PMMA,fiber,poly(methyl methacrylate),fiber,SUB-4-9-1000um_S2_A_16,Lower Harbor,SUB-4-9,SUB-4-9-S2,16,translucent,,Fiber,0.279,0.162,0,0.279,265.05,279,292.95,15,16.7,20.4,15,16.7,20.4,Unknown,poly(methyl methacrylate),1.17E-09,1.18E-09,1.19E-09,4.93E+04,6.11E+04,9.12E+04,5.77E-05,7.21E-05,1.09E-04
PP,fiber,poly(propylene),fiber,SUB-1-2-01-250-500um_S1_A_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,gray,,Fiber,1.145,0.682,0,1.145,1087.75,1145,1202.25,15,16.7,20.4,15,16.7,20.4,Unknown,poly(propylene),9.98E-10,1.00E-09,1.00E-09,2.02E+05,2.51E+05,3.74E+05,2.02E-04,2.51E-04,3.74E-04
NA,fiber,,fiber,SUB-2-6_G-01-250-500um_S1_A_3,Basin II,SUB-2-6,SUB-2-6-S1,3,orange,,Fiber,0.769,0.159,0,0.769,730.55,769,807.45,15,16.7,20.4,15,16.7,20.4,mineral,mineral,1.25E-09,1.26E-09,1.28E-09,1.36E+05,1.68E+05,2.51E+05,1.70E-04,2.12E-04,3.22E-04
NA,fiber,,fiber,SUB-3-9-500um_S1_A_70,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,70,black,,Fiber,2.034,0.526,0,2.034,1932.3,2034,2135.7,15,16.7,20.4,15,16.7,20.4,poly(esters/ethers/diglycidylethers/terephthalates)s,poly(esters/ethers/diglycidylethers/terephthalates)s,1.25E-09,1.26E-09,1.28E-09,3.59E+05,4.46E+05,6.65E+05,4.49E-04,5.61E-04,8.51E-04
NA,fiber,,fiber,SUB-3-6-250um_S1_A_30,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,30,green,,Fiber,0.502,0.269,0,0.502,476.9,502,527.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.87E+04,1.10E+05,1.64E+05,1.11E-04,1.39E-04,2.10E-04
NA,fiber,,fiber,SUB-3-6-250um_S1_B_6,Middle Newport Bay,SUB-3-6,SUB-3-6-S1,6,blue,,Fiber,0.361,0.189,0,0.361,342.95,361,379.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,6.38E+04,7.91E+04,1.18E+05,7.97E-05,9.96E-05,1.51E-04
NA,fiber,,fiber,SUB-3-7-500um_S1_A_16,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,16,blue,,Fiber,0.833,0.591,0,0.833,791.35,833,874.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.47E+05,1.82E+05,2.72E+05,1.84E-04,2.30E-04,3.49E-04
NA,fiber,,fiber,SUB-3-7-PB_S1_A_4,Middle Newport Bay,SUB-3-7,SUB-3-7-S1,4,translucent,,Fiber,0.674,0.279,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.19E+05,1.48E+05,2.20E+05,1.49E-04,1.86E-04,2.82E-04
NA,fiber,,fiber,SUB-3-9-250um_S1_A_32,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,32,translucent,,Fiber,1.101,0.812,0,1.101,1045.95,1101,1156.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.95E+05,2.41E+05,3.60E+05,2.43E-04,3.04E-04,4.61E-04
NA,fiber,,fiber,SUB-3-9-250um_S1_C_37,Middle Newport Bay,SUB-3-9,SUB-3-9-S1,37,translucent,,Fiber,1.017,0.409,0,1.017,966.15,1017,1067.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.80E+05,2.23E+05,3.32E+05,2.25E-04,2.81E-04,4.25E-04
NA,fiber,,fiber,SUB-4-1-250um_S1_J_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,gray,,Fiber,0.639,0.403,0,0.639,607.05,639,670.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.13E+05,1.40E+05,2.09E+05,1.41E-04,1.76E-04,2.67E-04
NA,fiber,,fiber,SUB-4-1-500um_S1_B_41,Lower Harbor,SUB-4-1,SUB-4-1-S1,41,translucent,,Fiber,2.169,0.226,0,2.169,2060.55,2169,2277.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,3.83E+05,4.75E+05,7.09E+05,4.79E-04,5.99E-04,9.07E-04
NA,fiber,,fiber,SUB-4-11-1000um_S1_A_14,Lower Harbor,SUB-4-11,SUB-4-11-S1,14,black,,Fiber,0.538,0.235,0,0.538,511.1,538,564.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,9.51E+04,1.18E+05,1.76E+05,1.19E-04,1.48E-04,2.25E-04
NA,fiber,,fiber,SUB-4-11-250um_S1_B_90,Lower Harbor,SUB-4-11,SUB-4-11-S1,90,translucent,,Fiber,1.702,0.4,0,1.702,1616.9,1702,1787.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,3.01E+05,3.73E+05,5.56E+05,3.76E-04,4.70E-04,7.12E-04
NA,fiber,,fiber,SUB-4-2-250um_S1_E_53,Lower Harbor,SUB-4-2,SUB-4-2-S1,53,blue,,Fiber,0.686,0.16,0,0.686,651.7,686,720.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.21E+05,1.50E+05,2.24E+05,1.52E-04,1.89E-04,2.87E-04
NA,fiber,,fiber,SUB-4-7-250um_S1_A_11,Lower Harbor,SUB-4-7,SUB-4-7-S1,11,pink,,Fiber,1.082,0.836,0,1.082,1027.9,1082,1136.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.91E+05,2.37E+05,3.54E+05,2.39E-04,2.99E-04,4.53E-04
NA,fiber,,fiber,SUB-4-7-250um_S2_B_37,Lower Harbor,SUB-4-7,SUB-4-7-S2,37,blue,,Fiber,0.25,0.136,0,0.25,237.5,250,262.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,4.42E+04,5.48E+04,8.17E+04,5.52E-05,6.90E-05,1.05E-04
NA,fiber,,fiber,SUB-4-7-250um_S2_B_54,Lower Harbor,SUB-4-7,SUB-4-7-S2,54,translucent,,Fiber,0.457,0.203,0,0.457,434.15,457,479.85,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.08E+04,1.00E+05,1.49E+05,1.01E-04,1.26E-04,1.91E-04
NA,fiber,,fiber,SUB-2-3-G_01 (500-1mm)_S1-_B_21,Basin II,SUB-2-3,SUB-2-3-S1,21,black,,Fiber,1.178,0.693,0,1.178,1119.1,1178,1236.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.08E+05,2.58E+05,3.85E+05,2.60E-04,3.25E-04,4.93E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_65,Basin I/III,SUB-1-2,SUB-1-2-S1,65,black,,Fiber,1.063,0.274,0,1.063,1009.85,1063,1116.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.88E+05,2.33E+05,3.47E+05,2.35E-04,2.93E-04,4.45E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_B_66,Basin I/III,SUB-1-2,SUB-1-2-S1,66,black,,Fiber,0.739,0.52,0,0.739,702.05,739,775.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.31E+05,1.62E+05,2.42E+05,1.63E-04,2.04E-04,3.09E-04
NA,fiber,,fiber,SUB-1-2-01-250-500um_S1_C_8,Basin I/III,SUB-1-2,SUB-1-2-S1,8,black,,Fiber,1.449,0.198,0,1.449,1376.55,1449,1521.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.56E+05,3.17E+05,4.74E+05,3.20E-04,4.00E-04,6.06E-04
NA,fiber,,fiber,SUB-1-3-01-250-500um_S1_A_11,Basin I/III,SUB-1-3,SUB-1-3-S1,11,clear,,Fiber,0.849,0.243,0,0.849,806.55,849,891.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.50E+05,1.86E+05,2.77E+05,1.88E-04,2.34E-04,3.55E-04
NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_12,Basin I/III,SUB-1-4,SUB-1-4-S1,12,gray,,Fiber,1.03,0.155,0,1.03,978.5,1030,1081.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.82E+05,2.26E+05,3.37E+05,2.28E-04,2.84E-04,4.31E-04
NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_20,Basin I/III,SUB-1-4,SUB-1-4-S1,20,black,,Fiber,1.284,0.417,0,1.284,1219.8,1284,1348.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.27E+05,2.81E+05,4.20E+05,2.84E-04,3.54E-04,5.37E-04
NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_30,Basin I/III,SUB-1-4,SUB-1-4-S1,30,black,,Fiber,0.836,0.466,0,0.836,794.2,836,877.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.48E+05,1.83E+05,2.73E+05,1.85E-04,2.31E-04,3.50E-04
NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_36,Basin I/III,SUB-1-4,SUB-1-4-S1,36,black,,Fiber,0.674,0.121,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.19E+05,1.48E+05,2.20E+05,1.49E-04,1.86E-04,2.82E-04
NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_3,Basin I/III,SUB-1-5,SUB-1-5-S1,3,black,,Fiber,1.016,0.305,0,1.016,965.2,1016,1066.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.80E+05,2.23E+05,3.32E+05,2.24E-04,2.80E-04,4.25E-04
NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_6,Basin I/III,SUB-1-5,SUB-1-5-S1,6,black,,Fiber,0.844,0.217,0,0.844,801.8,844,886.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.49E+05,1.85E+05,2.76E+05,1.86E-04,2.33E-04,3.53E-04
NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_14,Basin I/III,SUB-1-5,SUB-1-5-S1,14,black,,Fiber,1.139,0.336,0,1.139,1082.05,1139,1195.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.01E+05,2.49E+05,3.72E+05,2.52E-04,3.14E-04,4.77E-04
NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_B_5,Basin I/III,SUB-1-5,SUB-1-5-S1,5,black,,Fiber,0.934,0.339,0,0.934,887.3,934,980.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.65E+05,2.05E+05,3.05E+05,2.06E-04,2.58E-04,3.91E-04
NA,fiber,,fiber,SUB-1-6-01-250-500um_S1_A_36,Basin I/III,SUB-1-6,SUB-1-6-S1,36,gray,,Fiber,1.828,0.743,0,1.828,1736.6,1828,1919.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,3.23E+05,4.00E+05,5.97E+05,4.04E-04,5.05E-04,7.65E-04
NA,fiber,,fiber,SUB-1-6-01-250-500um_S1_B_17,Basin I/III,SUB-1-6,SUB-1-6-S1,17,black,,Fiber,1.367,0.374,0,1.367,1298.65,1367,1435.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.42E+05,2.99E+05,4.47E+05,3.02E-04,3.77E-04,5.72E-04
NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_18,Basin II,SUB-2-1,SUB-2-1-S1,18,gray,,Fiber,0.494,0.331,0,0.494,469.3,494,518.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.73E+04,1.08E+05,1.61E+05,1.09E-04,1.36E-04,2.07E-04
NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_20,Basin II,SUB-2-1,SUB-2-1-S1,20,green,,Fiber,0.894,0.522,0,0.894,849.3,894,938.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.58E+05,1.96E+05,2.92E+05,1.97E-04,2.47E-04,3.74E-04
NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_31,Basin II,SUB-2-1,SUB-2-1-S1,31,black,,Fiber,0.571,0.346,0,0.571,542.45,571,599.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.01E+05,1.25E+05,1.87E+05,1.26E-04,1.58E-04,2.39E-04
NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_33,Basin II,SUB-2-1,SUB-2-1-S1,33,black,,Fiber,1.322,0.196,0,1.322,1255.9,1322,1388.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.34E+05,2.90E+05,4.32E+05,2.92E-04,3.65E-04,5.53E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_A_77,Basin II,SUB-2-2,SUB-2-2-S1,77,gray,,Fiber,0.766,0.455,0,0.766,727.7,766,804.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.35E+05,1.68E+05,2.50E+05,1.69E-04,2.11E-04,3.20E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_B_5,Basin II,SUB-2-2,SUB-2-2-S1,5,black,,Fiber,0.99,0.202,0,0.99,940.5,990,1039.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.75E+05,2.17E+05,3.24E+05,2.19E-04,2.73E-04,4.14E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_B_18,Basin II,SUB-2-2,SUB-2-2-S1,18,blue,,Fiber,5.162,0.461,0,5.162,4903.9,5162,5420.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,9.12E+05,1.13E+06,1.69E+06,1.14E-03,1.42E-03,2.16E-03
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_C_9,Basin II,SUB-2-2,SUB-2-2-S1,9,black,,Fiber,0.489,0.38,0,0.489,464.55,489,513.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.64E+04,1.07E+05,1.60E+05,1.08E-04,1.35E-04,2.05E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_C_50,Basin II,SUB-2-2,SUB-2-2-S1,50,black,,Fiber,0.704,0.182,0,0.704,668.8,704,739.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.24E+05,1.54E+05,2.30E+05,1.56E-04,1.94E-04,2.95E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_E_30,Basin II,SUB-2-2,SUB-2-2-S1,30,black,,Fiber,1.415,0.513,0,1.415,1344.25,1415,1485.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.50E+05,3.10E+05,4.62E+05,3.13E-04,3.91E-04,5.92E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_E_59,Basin II,SUB-2-2,SUB-2-2-S1,59,gray,,Fiber,0.666,0.394,0,0.666,632.7,666,699.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.18E+05,1.46E+05,2.18E+05,1.47E-04,1.84E-04,2.79E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_15,Basin II,SUB-2-2,SUB-2-2-S1,15,black,,Fiber,0.809,0.206,0,0.809,768.55,809,849.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.43E+05,1.77E+05,2.64E+05,1.79E-04,2.23E-04,3.38E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_20,Basin II,SUB-2-2,SUB-2-2-S1,20,pink,,Fiber,1.575,0.268,0,1.575,1496.25,1575,1653.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.78E+05,3.45E+05,5.15E+05,3.48E-04,4.35E-04,6.59E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_21,Basin II,SUB-2-2,SUB-2-2-S1,21,blue,,Fiber,0.614,0.352,0,0.614,583.3,614,644.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.09E+05,1.34E+05,2.01E+05,1.36E-04,1.69E-04,2.57E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_G_35,Basin II,SUB-2-2,SUB-2-2-S1,35,orange,,Fiber,1.47,0.247,0,1.47,1396.5,1470,1543.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.60E+05,3.22E+05,4.80E+05,3.25E-04,4.06E-04,6.15E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_G_39,Basin II,SUB-2-2,SUB-2-2-S1,39,blue,,Fiber,0.823,0.247,0,0.823,781.85,823,864.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.45E+05,1.80E+05,2.69E+05,1.82E-04,2.27E-04,3.44E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_H_21,Basin II,SUB-2-2,SUB-2-2-S1,21,gray,,Fiber,0.28,0.14,0,0.28,266,280,294,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,4.95E+04,6.13E+04,9.15E+04,6.19E-05,7.73E-05,1.17E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_I_38,Basin II,SUB-2-2,SUB-2-2-S1,38,purple,,Fiber,0.765,0.13,0,0.765,726.75,765,803.25,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.35E+05,1.68E+05,2.50E+05,1.69E-04,2.11E-04,3.20E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_I_44,Basin II,SUB-2-2,SUB-2-2-S1,44,blue,,Fiber,1.051,0.265,0,1.051,998.45,1051,1103.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.86E+05,2.30E+05,3.44E+05,2.32E-04,2.90E-04,4.40E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_I_45,Basin II,SUB-2-2,SUB-2-2-S1,45,gray,,Fiber,1.168,0.443,0,1.168,1109.6,1168,1226.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.06E+05,2.56E+05,3.82E+05,2.58E-04,3.22E-04,4.89E-04
NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_I_58,Basin II,SUB-2-2,SUB-2-2-S1,58,black,,Fiber,1.599,0.268,0,1.599,1519.05,1599,1678.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.83E+05,3.50E+05,5.23E+05,3.53E-04,4.41E-04,6.69E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_A_3,Basin II,SUB-2-3,SUB-2-3-S1,3,black,,Fiber,1.288,0.498,0,1.288,1223.6,1288,1352.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.28E+05,2.82E+05,4.21E+05,2.85E-04,3.55E-04,5.39E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_A_31,Basin II,SUB-2-3,SUB-2-3-S1,31,gray,,Fiber,1.158,0.248,0,1.158,1100.1,1158,1215.9,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.05E+05,2.54E+05,3.78E+05,2.56E-04,3.20E-04,4.84E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_A_51,Basin II,SUB-2-3,SUB-2-3-S1,51,blue,,Fiber,0.901,0.188,0,0.901,855.95,901,946.05,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.59E+05,1.97E+05,2.94E+05,1.99E-04,2.49E-04,3.77E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_B_20,Basin II,SUB-2-3,SUB-2-3-S1,20,black,,Fiber,0.447,0.408,0,0.447,424.65,447,469.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,7.90E+04,9.79E+04,1.46E+05,9.87E-05,1.23E-04,1.87E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_B_39,Basin II,SUB-2-3,SUB-2-3-S1,39,black,,Fiber,1.273,0.701,0,1.273,1209.35,1273,1336.65,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.25E+05,2.79E+05,4.16E+05,2.81E-04,3.51E-04,5.33E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_C_13,Basin II,SUB-2-3,SUB-2-3-S1,13,black,,Fiber,0.728,0.14,0,0.728,691.6,728,764.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.29E+05,1.59E+05,2.38E+05,1.61E-04,2.01E-04,3.05E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_C_34,Basin II,SUB-2-3,SUB-2-3-S1,34,green,,Fiber,1.139,0.14,0,1.139,1082.05,1139,1195.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.01E+05,2.49E+05,3.72E+05,2.52E-04,3.14E-04,4.77E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_C_37,Basin II,SUB-2-3,SUB-2-3-S1,37,black,,Fiber,0.655,0.442,0,0.655,622.25,655,687.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.16E+05,1.43E+05,2.14E+05,1.45E-04,1.81E-04,2.74E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_C_44,Basin II,SUB-2-3,SUB-2-3-S1,44,purple,,Fiber,0.291,0.132,0,0.291,276.45,291,305.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,5.14E+04,6.37E+04,9.51E+04,6.43E-05,8.03E-05,1.22E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_C_62,Basin II,SUB-2-3,SUB-2-3-S1,62,gray,,Fiber,1.16,0.233,0,1.16,1102,1160,1218,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,2.05E+05,2.54E+05,3.79E+05,2.56E-04,3.20E-04,4.85E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_6,Basin II,SUB-2-3,SUB-2-3-S1,6,black,,Fiber,0.869,0.422,0,0.869,825.55,869,912.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.54E+05,1.90E+05,2.84E+05,1.92E-04,2.40E-04,3.64E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_7,Basin II,SUB-2-3,SUB-2-3-S1,7,blue,,Fiber,0.509,0.405,0,0.509,483.55,509,534.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,8.99E+04,1.11E+05,1.66E+05,1.12E-04,1.40E-04,2.13E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_9,Basin II,SUB-2-3,SUB-2-3-S1,9,blue,,Fiber,0.515,0.349,0,0.515,489.25,515,540.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,9.10E+04,1.13E+05,1.68E+05,1.14E-04,1.42E-04,2.15E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_17,Basin II,SUB-2-3,SUB-2-3-S1,17,red,,Fiber,0.675,0.516,0,0.675,641.25,675,708.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.19E+05,1.48E+05,2.21E+05,1.49E-04,1.86E-04,2.82E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_35,Basin II,SUB-2-3,SUB-2-3-S1,35,black,,Fiber,0.883,0.471,0,0.883,838.85,883,927.15,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.56E+05,1.93E+05,2.89E+05,1.95E-04,2.44E-04,3.69E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_37,Basin II,SUB-2-3,SUB-2-3-S1,37,gray,,Fiber,1.034,0.354,0,1.034,982.3,1034,1085.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.83E+05,2.26E+05,3.38E+05,2.28E-04,2.85E-04,4.33E-04
NA,fiber,,fiber,SUB-2-3_G-01-250-500um_S1_D_38,Basin II,SUB-2-3,SUB-2-3-S1,38,gray,,Fiber,1.029,0.435,0,1.029,977.55,1029,1080.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,1.82E+05,2.25E+05,3.36E+05,2.27E-04,2.84E-04,4.31E-04
