"","Material","Morphology","Material..Raw.Data.","Morphology..Raw.Data.","Unique_ID","Site","Location","Sample","Particle.x","Color","Plastic.or.not..morphology.","X1st.Order.Morph","Feret","MinFeret","Length","Length..mm.","Min.Length..microns.","Length..microns.","Max.Length..microns.","Min.Width..microns.","Width..microns.","Max.Width..microns.","Min.Height..Microns.","Height..microns.","Max.Height..Microns.","Polymer.Class..openspecy.","Polymer..openspecy.","Min.Density..mg.microns3.","Density..mg.microns3.","Max.Density..mg.microns3.","Min.Volume..microns3.","Volume..microns3.","Max.Volume..microns3.","Min.Mass..mg.","Mass..mg.","Max.Mass..mg.","OS_Plastic_Not","a","b","c","CSF","Deqi","water.density","particle.density","delta","D_dimless","P","W","Re","Cd","W_adj"
"11","mineral","fiber","mineral","fiber","UNB-2-20-25-1000um_A_7","Upper Newport Bay","UNB-2","UNB-2-20-25",7,"green","","Fiber",1.844,1.15,0,1.844,1751.8,1844,1936.2,15,16.7,20.4,15,16.7,20.4,"mineral","",2.6e-09,2.65e-09,2.7e-09,326000,404000,603000,"8.47E-04","1.07E-03","1.63E-03","",0.001844,1.67e-05,1.67e-05,0.0951651151017065,1.67e-05,1026,2650,1.58284600389864,0.362923943043849,NA,0.00414546672849573,0.0562839791592509,20.1194457014907,0.00414546672849573
"12","mineral","fiber","mineral","fiber","UNB-3-25-30-500um_A_49","Upper Newport Bay","UNB-3","UNB-3-25-30",49,"pink","","Fiber",3.243,1.252,0,3.243,3080.85,3243,3405.15,15,16.7,20.4,15,16.7,20.4,"mineral","",2.6e-09,2.65e-09,2.7e-09,573000,710000,1060000,"1.49E-03","1.88E-03","2.86E-03","",0.003243,1.67e-05,1.67e-05,0.0717603851935934,1.67e-05,1026,2650,1.58284600389864,0.362923943043849,NA,0.00415102923786714,0.0563595026604726,20.065560453128,0.00415102923786714
"13","PET","fiber","poly(esters/ethers/diglycidylethers/terephthalates)s","fiber","UNB-1-00-05-250um_A_32","Upper Newport Bay","UNB-1","UNB-1-00-05",32,"blue","","Fiber",1.398,0.539,0,1.398,1328.1,1398,1467.9,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","",1.44e-09,1.45e-09,1.46e-09,247000,306000,457000,"3.56E-04","4.44E-04","6.67E-04","",0.001398,1.67e-05,1.67e-05,0.109296096104793,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.00169885800162526,0.0230657956318226,31.2772492363913,0.00169885800162526
"14","PET","fiber","poly(esters/ethers/diglycidylethers/terephthalates)s","fiber","UNB-3-00-05-500um_A_30","Upper Newport Bay","UNB-3","UNB-3-00-05",30,"pink","","Fiber",2.347,0.251,0,2.347,2229.65,2347,2464.35,15,16.7,20.4,15,16.7,20.4,"poly(esters/ethers/diglycidylethers/terephthalates)s","",1.44e-09,1.45e-09,1.46e-09,415000,514000,767000,"5.97E-04","7.45E-04","1.12E-03","",0.002347,1.67e-05,1.67e-05,0.0843532249119525,1.67e-05,1026,1450,0.413255360623782,0.231957755607296,NA,0.00170030940214639,0.0230855016388981,31.2238749027193,0.00170030940214639
"15","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-1-10-15-1000um_B_4","Upper Newport Bay","UNB-1","UNB-1-10-15",4,"red","","Fiber",3.027,2.188,0,3.027,2875.65,3027,3178.35,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,535000,663000,989000,"5.83E-04","7.43E-04","1.13E-03","",0.003027,1.67e-05,1.67e-05,0.0742766015967599,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624501073929932,0.00847899832083729,51.3142905443478,0.000624501073929932
"16","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-2-10-15-500um_B_5","Upper Newport Bay","UNB-2","UNB-2-10-15",5,"blue","","Fiber",1.296,0.603,0,1.296,1231.2,1296,1360.8,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,229000,284000,424000,"2.50E-04","3.18E-04","4.83E-04","",0.001296,1.67e-05,1.67e-05,0.113515648565014,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000623980387036546,0.00847192883212221,51.3999657576209,0.000623980387036546
"17","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-00-05-500um_A_33","Upper Newport Bay","UNB-3","UNB-3-00-05",33,"pink","","Fiber",2.177,0.406,0,2.177,2068.15,2177,2285.85,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,385000,477000,712000,"4.19E-04","5.34E-04","8.11E-04","",0.002177,1.67e-05,1.67e-05,0.0875848561568734,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624311574769916,0.00847642544606309,51.3454464322977,0.000624311574769916
"18","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-20-25-1000um_A_22","Upper Newport Bay","UNB-3","UNB-3-20-25",22,"orange","","Fiber",3.465,2.881,0,3.465,3291.75,3465,3638.25,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,612000,759000,1130000,"6.67E-04","8.50E-04","1.29E-03","",0.003465,1.67e-05,1.67e-05,0.069423517770456,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624574417281676,0.00847999412081625,51.3022396470313,0.000624574417281676
"19","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-20-25-1000um_B_17","Upper Newport Bay","UNB-3","UNB-3-20-25",17,"clear","","Fiber",4.823,1.725,0,4.823,4581.85,4823,5064.15,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,852000,1060000,1580000,"9.29E-04","1.18E-03","1.80E-03","",0.004823,1.67e-05,1.67e-05,0.0588436501305652,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624743889105536,0.00848229507972557,51.2744103075515,0.000624743889105536
"20","Polyacrylonitriles (Nitriles)","fiber","polyacrylonitriles (nitriles)","fiber","UNB-3-25-30-500um_A_18","Upper Newport Bay","UNB-3","UNB-3-25-30",18,"blue","","Fiber",1.628,1.02,0,1.628,1546.6,1628,1709.4,15,16.7,20.4,15,16.7,20.4,"polyacrylonitriles (nitriles)","",1.09e-09,1.12e-09,1.14e-09,288000,357000,532000,"3.14E-04","3.99E-04","6.07E-04","",0.001628,1.67e-05,1.67e-05,0.101281712357095,1.67e-05,1026,1120,0.0916179337231969,0.140387863123535,NA,0.000624131244056267,0.00847397705344687,51.3751212762161,0.000624131244056267
