,Site,Location,Sub,Sample,Depth,Size,Unique_ID,Color,Color-Group,Morphology,1st Order Morph,Comment,Feret,MinFeret,Length,plastic_or_not,match_val,good_match_vals,material_class,material_class_specific,spectrum_identity
1704,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_29,gray,Black,fiber,Fiber,NA,1.091,0.581,1.801,NA,NA,NA,NA,NA,NA
1705,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_3,pink,Red,fragment,Non-Fiber,NA,0.694,0.435,0,NA,NA,NA,NA,NA,NA
1706,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_30,gray,Black,fragment,Non-Fiber,NA,0.952,0.595,0,NA,NA,NA,NA,NA,NA
1707,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_31,gray,Black,fragment,Non-Fiber,NA,0.593,0.299,0,NA,NA,NA,NA,NA,NA
1708,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_32,black,Black,TRWP,Non-Fiber,NA,0.555,0.328,0,NA,NA,NA,NA,NA,NA
1709,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_33,black,Black,fiber,Fiber,NA,1.392,0.578,1.962,NA,NA,NA,NA,NA,NA
1710,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_34,black,NA,not plastic,NA,NA,1.243,0.351,0,NA,NA,NA,NA,NA,NA
1711,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_35,black,NA,not plastic,NA,NA,1.07,0.616,0,NA,NA,NA,NA,NA,NA
1712,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_36,black,Black,fiber,Fiber,NA,0.62,0.135,0.777,NA,NA,NA,NA,NA,NA
1713,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_37,red,Red,fiber,Fiber,NA,1.028,0.292,1.749,NA,NA,NA,NA,NA,NA
1714,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_38,red,Red,fiber,Fiber,NA,1.745,0.232,1.899,NA,NA,NA,NA,NA,NA
1715,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_39,blue,Blue,fiber,Fiber,NA,1.526,0.386,1.79,NA,NA,NA,NA,NA,NA
1716,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_4,translucent,Transparent,fragment,Non-Fiber,NA,0.651,0.438,0,NA,NA,NA,NA,NA,NA
1717,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_40,blue,Blue,fiber,Fiber,NA,0.675,0.274,1.246,NA,NA,NA,NA,NA,NA
1718,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_41,black,Black,fiber,Fiber,NA,1.39,0.264,1.685,NA,NA,NA,NA,NA,NA
1719,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_42,blue,Blue,fiber,Fiber,NA,1.559,0.499,2.04,NA,NA,NA,NA,NA,NA
1720,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_43,gray,Black,fiber,Fiber,NA,1.433,0.28,1.706,NA,NA,NA,NA,NA,NA
1721,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_44,black,NA,not plastic,NA,NA,0.503,0.227,0,NA,NA,NA,NA,NA,NA
1722,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_45,black,Black,TRWP,Non-Fiber,NA,0.649,0.424,0,NA,NA,NA,NA,NA,NA
1723,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_46,black,NA,not plastic,NA,NA,0.373,0.138,0,NA,NA,NA,NA,NA,NA
1724,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_47,black,Black,fragment,Non-Fiber,NA,0.932,0.68,0,NA,NA,NA,NA,NA,NA
1725,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_48,black,NA,not plastic,NA,NA,0.364,0.261,0.729,NA,NA,NA,NA,NA,NA
1726,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_49,black,NA,not plastic,NA,NA,0.652,0.078,0.713,NA,NA,NA,NA,NA,NA
1727,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_5,translucent,Transparent,fiber,Fiber,NA,1.236,0.121,1.361,NA,NA,NA,NA,NA,NA
1728,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_50,black,Black,fiber,Fiber,NA,1.878,1.005,8.111,NA,NA,NA,NA,NA,NA
1729,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_6,translucent,Transparent,fiber,Fiber,NA,1.765,0.677,5.171,NA,NA,NA,NA,NA,NA
1730,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_7,translucent,Transparent,fiber,Fiber,NA,3.038,1.047,6.071,NA,NA,NA,NA,NA,NA
1731,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_8,translucent,Transparent,fiber,Fiber,NA,1.041,0.547,1.981,NA,NA,NA,NA,NA,NA
1732,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_D_9,blue,Blue,fiber,Fiber,NA,2.976,0.593,3.738,NA,NA,NA,NA,NA,NA
1733,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_1,blue,Blue,fiber,Fiber,NA,1.259,0.302,1.5,NA,NA,NA,NA,NA,NA
1734,Lower Harbor,SUB-4-1,S1,SUB-4-1-S1,0-5cm,250um,SUB-4-1-250um_S1_E_10,black,Black,fiber,Fiber,NA,1.343,0.545,2.585,NA,NA,NA,NA,NA,NA
