,Material,Morphology,Material..Raw.Data.,Morphology..Raw.Data.,Unique_ID,Site,Location,Sample,Particle.x,Color,Plastic.or.not..morphology.,X1st.Order.Morph,Feret,MinFeret,Length,Length..mm.,Min.Length..microns.,Length..microns.,Max.Length..microns.,Min.Width..microns.,Width..microns.,Max.Width..microns.,Min.Height..Microns.,Height..microns.,Max.Height..Microns.,Polymer.Class..openspecy.,Polymer..openspecy.,Min.Density..mg.microns3.,Density..mg.microns3.,Max.Density..mg.microns3.,Min.Volume..microns3.,Volume..microns3.,Max.Volume..microns3.,Min.Mass..mg.,Mass..mg.,Max.Mass..mg.,OS_Plastic_Not,a,b,c,CSF,Deqi,water.density,particle.density,delta,D_dimless,P,W,Re,Cd,W_adj
26,NA,fiber,,fiber,SUB-1-3-01-250-500um_S1_A_11,Basin I/III,SUB-1-3,SUB-1-3-S1,11,clear,,Fiber,0.849,0.243,0,0.849,806.55,849,891.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,150000,186000,277000,0.000188,0.000234,0.000355,,0.000849,1.67E-05,1.67E-05,0.140250491,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143597,0.015526892,38.09310212,0.001143597
27,NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_12,Basin I/III,SUB-1-4,SUB-1-4-S1,12,gray,,Fiber,1.03,0.155,0,1.03,978.5,1030,1081.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,182000,226000,337000,0.000228,0.000284,0.000431,,0.00103,1.67E-05,1.67E-05,0.127332605,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114395,0.015531679,38.06962609,0.00114395
28,NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_20,Basin I/III,SUB-1-4,SUB-1-4-S1,20,black,,Fiber,1.284,0.417,0,1.284,1219.8,1284,1348.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,227000,281000,420000,0.000284,0.000354,0.000537,,0.001284,1.67E-05,1.67E-05,0.114044862,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144332,0.01553687,38.04419457,0.001144332
29,NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_30,Basin I/III,SUB-1-4,SUB-1-4-S1,30,black,,Fiber,0.836,0.466,0,0.836,794.2,836,877.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,148000,183000,273000,0.000185,0.000231,0.00035,,0.000836,1.67E-05,1.67E-05,0.141336749,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143569,0.0155265,38.09502578,0.001143569
30,NA,fiber,,fiber,SUB-1-4-01-250-500um_S1_A_36,Basin I/III,SUB-1-4,SUB-1-4-S1,36,black,,Fiber,0.674,0.121,0,0.674,640.3,674,707.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,119000,148000,220000,0.000149,0.000186,0.000282,,0.000674,1.67E-05,1.67E-05,0.157408539,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143154,0.015520871,38.12266524,0.001143154
31,NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_3,Basin I/III,SUB-1-5,SUB-1-5-S1,3,black,,Fiber,1.016,0.305,0,1.016,965.2,1016,1066.8,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,180000,223000,332000,0.000224,0.00028,0.000425,,0.001016,1.67E-05,1.67E-05,0.128206895,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143926,0.015531348,38.07125162,0.001143926
32,NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_6,Basin I/III,SUB-1-5,SUB-1-5-S1,6,black,,Fiber,0.844,0.217,0,0.844,801.8,844,886.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,149000,185000,276000,0.000186,0.000233,0.000353,,0.000844,1.67E-05,1.67E-05,0.140665311,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143586,0.015526743,38.09383761,0.001143586
33,NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_A_14,Basin I/III,SUB-1-5,SUB-1-5-S1,14,black,,Fiber,1.139,0.336,0,1.139,1082.05,1139,1195.95,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,201000,249000,372000,0.000252,0.000314,0.000477,,0.001139,1.67E-05,1.67E-05,0.121086681,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144127,0.015534083,38.05784667,0.001144127
34,NA,fiber,,fiber,SUB-1-5-01-250-500um_S1_B_5,Basin I/III,SUB-1-5,SUB-1-5-S1,5,black,,Fiber,0.934,0.339,0,0.934,887.3,934,980.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,165000,205000,305000,0.000206,0.000258,0.000391,,0.000934,1.67E-05,1.67E-05,0.133716437,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143774,0.015529284,38.0813698,0.001143774
35,NA,fiber,,fiber,SUB-1-6-01-250-500um_S1_A_36,Basin I/III,SUB-1-6,SUB-1-6-S1,36,gray,,Fiber,1.828,0.743,0,1.828,1736.6,1828,1919.4,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,323000,4.00E+05,597000,0.000404,0.000505,0.000765,,0.001828,1.67E-05,1.67E-05,0.095580685,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144903,0.015544625,38.00624347,0.001144903
36,NA,fiber,,fiber,SUB-1-6-01-250-500um_S1_B_17,Basin I/III,SUB-1-6,SUB-1-6-S1,17,black,,Fiber,1.367,0.374,0,1.367,1298.65,1367,1435.35,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,242000,299000,447000,0.000302,0.000377,0.000572,,0.001367,1.67E-05,1.67E-05,0.110528424,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144437,0.015538294,38.03721887,0.001144437
37,NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_18,Basin II,SUB-2-1,SUB-2-1-S1,18,gray,,Fiber,0.494,0.331,0,0.494,469.3,494,518.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,87300,108000,161000,0.000109,0.000136,0.000207,,0.000494,1.67E-05,1.67E-05,0.183863177,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001142516,0.015512212,38.16523867,0.001142516
38,NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_20,Basin II,SUB-2-1,SUB-2-1-S1,20,green,,Fiber,0.894,0.522,0,0.894,849.3,894,938.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,158000,196000,292000,0.000197,0.000247,0.000374,,0.000894,1.67E-05,1.67E-05,0.136675124,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143693,0.015528194,38.08671713,0.001143693
39,NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_31,Basin II,SUB-2-1,SUB-2-1-S1,31,black,,Fiber,0.571,0.346,0,0.571,542.45,571,599.55,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,101000,125000,187000,0.000126,0.000158,0.000239,,0.000571,1.67E-05,1.67E-05,0.171017354,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114282,0.015516331,38.14497954,0.00114282
40,NA,fiber,,fiber,SUB-2-1-01-250-500um_S1_A_33,Basin II,SUB-2-1,SUB-2-1-S1,33,black,,Fiber,1.322,0.196,0,1.322,1255.9,1322,1388.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,234000,290000,432000,0.000292,0.000365,0.000553,,0.001322,1.67E-05,1.67E-05,0.11239384,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144381,0.015537536,38.04093301,0.001144381
41,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_A_77,Basin II,SUB-2-2,SUB-2-2-S1,77,gray,,Fiber,0.766,0.455,0,0.766,727.7,766,804.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,135000,168000,250000,0.000169,0.000211,0.00032,,0.000766,1.67E-05,1.67E-05,0.147653536,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143403,0.015524251,38.10606815,0.001143403
42,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_B_5,Basin II,SUB-2-2,SUB-2-2-S1,5,black,,Fiber,0.99,0.202,0,0.99,940.5,990,1039.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,175000,217000,324000,0.000219,0.000273,0.000414,,0.00099,1.67E-05,1.67E-05,0.129879509,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143879,0.015530716,38.07434601,0.001143879
43,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_B_18,Basin II,SUB-2-2,SUB-2-2-S1,18,blue,,Fiber,5.162,0.461,0,5.162,4903.9,5162,5420.1,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,912000,1130000,1690000,0.00114,0.00142,0.00216,,0.005162,1.67E-05,1.67E-05,0.056878644,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001146322,0.015563883,37.91224439,0.001146322
44,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_C_9,Basin II,SUB-2-2,SUB-2-2-S1,9,black,,Fiber,0.489,0.38,0,0.489,464.55,489,513.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,86400,107000,160000,0.000108,0.000135,0.000205,,0.000489,1.67E-05,1.67E-05,0.184800783,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001142494,0.015511917,38.16668912,0.001142494
45,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_C_50,Basin II,SUB-2-2,SUB-2-2-S1,50,black,,Fiber,0.704,0.182,0,0.704,668.8,704,739.2,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,124000,154000,230000,0.000156,0.000194,0.000295,,0.000704,1.67E-05,1.67E-05,0.154018151,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114324,0.015522033,38.11695695,0.00114324
46,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_E_30,Basin II,SUB-2-2,SUB-2-2-S1,30,black,,Fiber,1.415,0.513,0,1.415,1344.25,1415,1485.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,250000,310000,462000,0.000313,0.000391,0.000592,,0.001415,1.67E-05,1.67E-05,0.108637563,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144494,0.01553907,38.03342186,0.001144494
47,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_E_59,Basin II,SUB-2-2,SUB-2-2-S1,59,gray,,Fiber,0.666,0.394,0,0.666,632.7,666,699.3,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,118000,146000,218000,0.000147,0.000184,0.000279,,0.000666,1.67E-05,1.67E-05,0.158351113,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.00114313,0.01552055,38.12424124,0.00114313
48,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_15,Basin II,SUB-2-2,SUB-2-2-S1,15,black,,Fiber,0.809,0.206,0,0.809,768.55,809,849.45,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,143000,177000,264000,0.000179,0.000223,0.000338,,0.000809,1.67E-05,1.67E-05,0.143675916,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001143507,0.015525661,38.09914319,0.001143507
49,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_20,Basin II,SUB-2-2,SUB-2-2-S1,20,pink,,Fiber,1.575,0.268,0,1.575,1496.25,1575,1653.75,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,278000,345000,515000,0.000348,0.000435,0.000659,,0.001575,1.67E-05,1.67E-05,0.102971717,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144669,0.015541436,38.02184145,0.001144669
50,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_F_21,Basin II,SUB-2-2,SUB-2-2-S1,21,blue,,Fiber,0.614,0.352,0,0.614,583.3,614,644.7,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,109000,134000,201000,0.000136,0.000169,0.000257,,0.000614,1.67E-05,1.67E-05,0.164920275,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001142968,0.015518341,38.13509671,0.001142968
51,NA,fiber,,fiber,SUB-2-2_G-01-250-500um_S1_G_35,Basin II,SUB-2-2,SUB-2-2-S1,35,orange,,Fiber,1.47,0.247,0,1.47,1396.5,1470,1543.5,15,16.7,20.4,15,16.7,20.4,,,1.25E-09,1.26E-09,1.28E-09,260000,322000,480000,0.000325,0.000406,0.000615,,0.00147,1.67E-05,1.67E-05,0.106585854,1.67E-05,1026,1260,0.228070175,0.190264997,NA,0.001144557,0.015539919,38.02926416,0.001144557
